EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep= 120000
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.296765 14466.939133979431062 0.000000 0.000000000000000 0.0000000000000000000000000000000005418185737861219568358333019198331658018800530441792124744833190519 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   1 3.75000E+16 0.000000000000000 0.000000 0.301048 14675.753576803117539 0.000000 0.000000000000000 0.0000000000000000000000000000000005523954280280161197405185731418369813563825417476764021600267147044 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   2 6.25000E+16 0.000000000000000 0.000000 0.305227 14879.458270697548869 0.000000 0.000000000000000 0.0000000000000000000000000000000005632936467375865747928252576548694847391191505498096517664553034538 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   3 8.75000E+16 0.000000000000000 0.000000 0.309298 15077.907835185851582 0.000000 0.000000000000000 0.0000000000000000000000000000000005745226119213287382320114308437489789368372897345819199120275957572 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   4 1.12500E+17 0.000000000000000 0.000000 0.313258 15270.985998392468900 0.000000 0.000000000000000 0.0000000000000000000000000000000005860918802800201629058159203446875585991611368863625210460321698397 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   5 1.37500E+17 0.000000000000000 0.000000 0.317107 15458.604817993405959 0.000000 0.000000000000000 0.0000000000000000000000000000000005980111917858045830704832956152528955961310821652938354389367402130 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   6 1.62500E+17 0.000000000000000 0.000000 0.320843 15640.703622021439514 0.000000 0.000000000000000 0.0000000000000000000000000000000006102904787631462465651353643168293713404761281562999117003423136241 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   7 1.87500E+17 0.000000000000000 0.000000 0.324464 15817.247705346013390 0.000000 0.000000000000000 0.0000000000000000000000000000000006229398754259966164896590001062028339988833313935283999066145949878 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   8 2.12500E+17 0.000000000000000 0.000000 0.327971 15988.226821104282863 0.000000 0.000000000000000 0.0000000000000000000000000000000006359697278254267437220551729579702644091673171121053938835152832306 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
   9 2.37500E+17 0.000000000000000 0.000000 0.331365 16153.653508231216620 0.000000 0.000000000000000 0.0000000000000000000000000000000006493906041647091080390242402115728065750848526664803663218712147318 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
