EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep= 120000
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
  22 5.62500E+17 0.000000000000000 0.000000 0.253817 12373.265277763528502 0.117617 12373.265277765352948 0.0000000000000000000000000000000008647270447487342071605188975845643164381943032123490401542441781384 -0.0000000000000000000000000001027731235504655220856540935953513118279488569070658022421296217092939949
  23 5.87500E+17 0.000000000000000 0.000000 0.255399 12450.383739540440729 0.118350 12450.383739542272451 0.0000000000000000000000000000000008848831829807547266416801420340034942436873600696141776394984243577 -0.0000000000000000000000000001025438645330049141820737739586438188646193025459947521777246018648808729
  24 6.12500E+17 0.000000000000000 0.000000 0.256928 12524.944739897597174 0.119058 12524.944739899439810 0.0000000000000000000000000000000009056233286040668305947163868270877022812837208808992478969494911117 -0.0000000000000000000000000001025407699537276689040470707373481251385599844563866314508452566213669993
  25 6.37500E+17 0.000000000000000 0.000000 0.258407 12597.025395886916158 0.119744 12597.025395888769708 0.0000000000000000000000000000000009269632050858213786384290721254292213693035848468524403386873515146 -0.0000000000000000000000000001025579015951217274683954916332206574992998149160506494582169759112205454
  26 6.62500E+17 0.000000000000000 0.000000 0.259836 12666.702678108902546 0.120406 12666.702678110768829 0.0000000000000000000000000000000009489189678525818130156169527513439929946056654781421914232862793095 -0.0000000000000000000000000001026943927949467699521958509792655670791529136533918535966614629590083974
  27 6.87500E+17 0.000000000000000 0.000000 0.261218 12734.053090072380655 0.121046 12734.053090074257852 0.0000000000000000000000000000000009715072183799871285276690669278833983133969878756099015886201241649 -0.0000000000000000000000000001027486177946122823387352360989163520812051058385280277211209467313808455
  28 7.12500E+17 0.000000000000000 0.000000 0.262553 12799.152400029346609 0.121665 12799.152400031232901 0.0000000000000000000000000000000009947450185271773120160921807140026286225779721035250750579801403184 -0.0000000000000000000000000001027212967630959388897522178826272844363443396911817726419995762961135196
  29 7.37500E+17 0.000000000000000 0.000000 0.263844 12862.075400249146696 0.122263 12862.075400251043902 0.0000000000000000000000000000000010186499051282073752238770019980495643226266436675548749552475766122 -0.0000000000000000000000000001028102001065489026281796623128978984489859984588808970605285127321858082
  30 7.62500E+17 0.000000000000000 0.000000 0.265091 12922.895706148417958 0.122841 12922.895706150316983 0.0000000000000000000000000000000010432399048589875928381368494491195113308490586295493225991283387949 -0.0000000000000000000000000001024244419669546560608818116620898630015324689045468912364702475048414427
  31 7.87500E+17 0.000000000000000 0.000000 0.266297 12981.685584585582546 0.123400 12981.685584587488847 0.0000000000000000000000000000000010685335493943316946875745663690117969381049400157566342913012361711 -0.0000000000000000000000000001023512482334479592004468813500853947771274719689774915696441843358405289
  32 8.12500E+17 0.000000000000000 0.000000 0.267463 13038.515808946945981 0.123940 13038.515808948865015 0.0000000000000000000000000000000010945498908727322191775883249451893474891388894532989617773329470614 -0.0000000000000000000000000001025857998452985418756199398165001459228236004586954368221104422213827871
  33 8.37500E+17 0.000000000000000 0.000000 0.268590 13093.455542687665002 0.124463 13093.455542689589493 0.0000000000000000000000000000000011213085176859059442100957275487041323557462040529561850687121073560 -0.0000000000000000000000000001024458421633642112426239352748147217731681124126699865739892714346174815
  34 8.62500E+17 0.000000000000000 0.000000 0.269680 13146.572243961982167 0.124967 13146.572243963921210 0.0000000000000000000000000000000011488295706106391398905106446048219805462751680716403215348847804357 -0.0000000000000000000000000001028034334527091267822782704122537889805818285182223324871579738337779310
  35 8.87500E+17 0.000000000000000 0.000000 0.270733 13197.931591899150590 0.125456 13197.931591901087813 0.0000000000000000000000000000000011771337593005759691334273065102586645326757582618652457807905108821 -0.0000000000000000000000000001023073138239239870506442452741976496992402853002177783836365787302155424
  36 9.12500E+17 0.000000000000000 0.000000 0.271752 13247.597431254771436 0.125928 13247.597431256715936 0.0000000000000000000000000000000012062423791564375282846016861438161729140898258521214066080105429810 -0.0000000000000000000000000001023065713378808035703088174465501933515942683630914899937324536230692090
  37 9.37500E+17 0.000000000000000 0.000000 0.272737 13295.631735334718542 0.126384 13295.631735336672136 0.0000000000000000000000000000000012361773285919626476283475802708652511646973403893974841909546835444 -0.0000000000000000000000000001024137458702913160126347688284668151124793517008684053432610063847613583
  38 9.62500E+17 0.000000000000000 0.000000 0.273690 13342.094580762683108 0.126826 13342.094580764642160 0.0000000000000000000000000000000012669611267147290002792296941337309288566944152460365628772801248404 -0.0000000000000000000000000001023421733600324809405997531710716138172949481855881734883268010465041492
  39 9.87500E+17 0.000000000000000 0.000000 0.274613 13387.044153516926599 0.127253 13387.044153518891108 0.0000000000000000000000000000000012986169314397357857751594943270949430580647472210111582150959019104 -0.0000000000000000000000000001022826583457154279846846903855539098478067252333161153629980887480653050
  40 1.01250E+18 0.000000000000000 0.000000 0.275505 13430.536712001659907 0.127667 13430.536712003633511 0.0000000000000000000000000000000013311685580551290819515972508287520219244210910249623421691713668371 -0.0000000000000000000000000001024234303499788705859384071341312496098116877787463652217542293712951778
  41 1.03750E+18 0.000000000000000 0.000000 0.276368 13472.626607600983334 0.128067 13472.626607602956938 0.0000000000000000000000000000000013646404982577007040516892349215731544797521758329698364418240315995 -0.0000000000000000000000000001021034488336854521294476410502793558913667997571348910880171549208161679
  42 1.06250E+18 0.000000000000000 0.000000 0.277204 13513.366319218308490 0.128454 13513.366319220293008 0.0000000000000000000000000000000013990579396783783041526553933269503058924453101580325660489031648420 -0.0000000000000000000000000001023585554106534203433815310093937043682251887385882892454971937135091106
  43 1.08750E+18 0.000000000000000 0.000000 0.278013 13552.806470642613931 0.128829 13552.806470644600267 0.0000000000000000000000000000000014344467859156976247250000858830237573142747298679405263902322463558 -0.0000000000000000000000000001021542286303148766321788232754305150138420253763419949676928641883287411
  44 1.11250E+18 0.000000000000000 0.000000 0.278796 13590.995860580551380 0.129192 13590.995860582546811 0.0000000000000000000000000000000014708336770976255116272164913477998705912237024476128161984148343866 -0.0000000000000000000000000001023336099225611589994455505596476298230409050251383069068316498938662332
  45 1.13750E+18 0.000000000000000 0.000000 0.279555 13627.981497315866363 0.129544 13627.981497317861795 0.0000000000000000000000000000000015082460109901267552218965807861613465928239228989967393887350756154 -0.0000000000000000000000000001020558817994965276311190836277878657743568584477174527444349097511735899
  46 1.16250E+18 0.000000000000000 0.000000 0.280290 13663.808638434980821 0.129884 13663.808638436983529 0.0000000000000000000000000000000015467119646733731282635752170355080009209613753008390307372692744184 -0.0000000000000000000000000001021594379905455901113575555869364196097317285295481713769866219618476528
  47 1.18750E+18 0.000000000000000 0.000000 0.281002 13698.520833400654737 0.130214 13698.520833402659264 0.0000000000000000000000000000000015862605168040049659953063156616867781725558625992887698425727502873 -0.0000000000000000000000000001019931176452653172679887778504340364168933182364705816388736121724286674
  48 1.21250E+18 0.000000000000000 0.000000 0.281692 13732.159968503570781 0.130534 13732.159968505582583 0.0000000000000000000000000000000016269214704858034570425989409491754821625463064182868072692466550947 -0.0000000000000000000000000001021125731567661851925375677799502831875397783519585442849076897136333632
  49 1.23750E+18 0.000000000000000 0.000000 0.282361 13764.766313588150297 0.130844 13764.766313590160280 0.0000000000000000000000000000000016687254767671802272889994625257091774062432701742158955315417911751 -0.0000000000000000000000000001017785788623947009837045568544011203838152982363707130035595342525014099
  50 1.26250E+18 0.000000000000000 0.000000 0.283009 13796.378571062059564 0.131144 13796.378571064078642 0.0000000000000000000000000000000017117040587877785810827883252708490723809369671083552724353822341866 -0.0000000000000000000000000001020048503737881623162241216778529534445906312454397010462699627964058981
  51 1.28750E+18 0.000000000000000 0.000000 0.283638 13827.033924527560885 0.131436 13827.033924529583601 0.0000000000000000000000000000000017558896365948487098459246482837647761469311083799137935174742994608 -0.0000000000000000000000000001019620846209818238532606312178669677303620846605125721800624905399019243
  52 1.31250E+18 0.000000000000000 0.000000 0.284248 13856.768088526794600 0.131718 13856.768088528822773 0.0000000000000000000000000000000018013155526507774462535032049746620431162093669966009910689383009186 -0.0000000000000000000000000001020177793899250534546025046165873713672499703788024894136468051893970618
  53 1.33750E+18 0.000000000000000 0.000000 0.284840 13885.615358667288092 0.131993 13885.615358669316265 0.0000000000000000000000000000000018480160980548594351429111940447842392375707393911310589191596147134 -0.0000000000000000000000000001018058381568447830453767835928123448563895886294045030072507236813465867
  54 1.36250E+18 0.000000000000000 0.000000 0.285414 13913.608660962025169 0.132259 13913.608660964055161 0.0000000000000000000000000000000018960265394994150698224701650327330716272332653865988337318607758464 -0.0000000000000000000000000001016921332203920955628832958539816768547694138102252959505054114732126963
  55 1.38750E+18 0.000000000000000 0.000000 0.285972 13940.779601034764710 0.132517 13940.779601036798340 0.0000000000000000000000000000000019453831469859517096374491665457980964716856208418878691796756077818 -0.0000000000000000000000000001016758213902387485695394802424772171212330868676704548935186275914323382
  56 1.41250E+18 0.000000000000000 0.000000 0.286513 13967.158513003432745 0.132768 13967.158513005470013 0.0000000000000000000000000000000019961232223228412987670359014227790899256320116626420778614395913486 -0.0000000000000000000000000001016653377751844675860791693178973356897185901617816188050860233462850826
  57 1.43750E+18 0.000000000000000 0.000000 0.287038 13992.774507167578122 0.133011 13992.774507169617209 0.0000000000000000000000000000000020482851284285985193800828986327174722404902119048194663977977808587 -0.0000000000000000000000000001015698296910522683908424059666706660555281384818203001386307857395701319
  58 1.46250E+18 0.000000000000000 0.000000 0.287548 14017.655516826045641 0.133248 14017.655516828090185 0.0000000000000000000000000000000021019083194661210655161636968074171370444505737647899701199715436154 -0.0000000000000000000000000001016608825013977850461521953145814795874999625016225503208031283820281549
  59 1.48750E+18 0.000000000000000 0.000000 0.288044 14041.828343997314732 0.133477 14041.828343999361095 0.0000000000000000000000000000000021570333718315721343240608321807351033928894969703391771053137107423 -0.0000000000000000000000000001015761645217037933566342056502642475927879666873288966551132438169435880
  60 1.51250E+18 0.000000000000000 0.000000 0.288526 14065.318704242814420 0.133701 14065.318704244860783 0.0000000000000000000000000000000022137020160244942256360364079737514298501950435401321305544379805899 -0.0000000000000000000000000001014065230974926747441955172781432294191537452827749458636945310927252465
  61 1.53750E+18 0.000000000000000 0.000000 0.288995 14088.151270075311913 0.133918 14088.151270077361914 0.0000000000000000000000000000000022719571694247156307520290519326390399060050332790044095219454634881 -0.0000000000000000000000000001014221603596040313203459935262215104752232200466682300222269317665393291
  62 1.56250E+18 0.000000000000000 0.000000 0.289450 14110.349712916849967 0.134129 14110.349712918903606 0.0000000000000000000000000000000023318429700031535828058801996276154109319473674457696365225176456828 -0.0000000000000000000000000001014423056575391245850586316636665200256827376104616178350976712463652881
  63 1.58750E+18 0.000000000000000 0.000000 0.289893 14131.936744251543132 0.134334 14131.936744253596771 0.0000000000000000000000000000000023934048109941722655759773588105417805268008593126236797592036331894 -0.0000000000000000000000000001012873489611908030149041822784965359534112004163770310968239577644021767
  64 1.61250E+18 0.000000000000000 0.000000 0.290323 14152.934154739001315 0.134534 14152.934154741058592 0.0000000000000000000000000000000024566893765574994126244227291818685726524681939125190463733895169938 -0.0000000000000000000000000001013162404391520171750983913443830360104648778794676256300550117524184737
  65 1.63750E+18 0.000000000000000 0.000000 0.290743 14173.362852647886029 0.134728 14173.362852649943306 0.0000000000000000000000000000000025217446784581085809167649853469761066024834037041787221075081141402 -0.0000000000000000000000000001011702088381330263184546503905051839432094610805131253829131230274015983
  66 1.66250E+18 0.000000000000000 0.000000 0.291150 14193.242900803110388 0.134917 14193.242900805167665 0.0000000000000000000000000000000025886200937954994961407442273626087096340908778289771493809257642861 -0.0000000000000000000000000001010285027715467752179781588710474368372985261158159761110588244360208504
  67 1.68750E+18 0.000000000000000 0.000000 0.291547 14212.593551376583491 0.135101 14212.593551378646225 0.0000000000000000000000000000000026573664038104003863272490894856205889976874552472106525453325764813 -0.0000000000000000000000000001011585662663648592472695514159288382569890994583239264987804709401582315
  68 1.71250E+18 0.000000000000000 0.000000 0.291934 14231.433280762883442 0.135280 14231.433280764944357 0.0000000000000000000000000000000027280358338031697200420642289958745859560510800109260810087068646293 -0.0000000000000000000000000001009355644389856031619371955557012952838665844021389092222196631609216211
  69 1.73750E+18 0.000000000000000 0.000000 0.292310 14249.779822084858097 0.135454 14249.779822086922650 0.0000000000000000000000000000000028006820941929486337419312642367582514965371241713364796317424654271 -0.0000000000000000000000000001009835548453809695370745451191964073593022910188915264333577592738214253
  70 1.76250E+18 0.000000000000000 0.000000 0.292677 14267.650196572876666 0.135624 14267.650196574941219 0.0000000000000000000000000000000028753604227527720143249670825813186555050693165089208560315870509937 -0.0000000000000000000000000001008570719335240666088408414905348670778312410328541267110481464284785412
  71 1.78750E+18 0.000000000000000 0.000000 0.293034 14285.060744133383196 0.135790 14285.060744135449568 0.0000000000000000000000000000000029521276280546717259455158860524076820742106425011886253538962674826 -0.0000000000000000000000000001008229004839107949080690699863954941454737488689971832773984347773889609
