EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep=      2
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
  14 3.62500E+17 0.995878330874204 0.996692 0.001802 174.939185459500180 0.000000 0.000000000000000 0.0000000000000000003604650484919473922241834605980520235082784341714752128146836973598965414566919208 0.0000000000000000014346437230158258605161753676758917122195648306864001683691434152478905161842703819
  15 3.87500E+17 0.996182817047500 0.996794 0.001713 166.422119445387523 0.000000 0.000000000000000 0.0000000000000000003428516606520340654597700083873048037840932495801360120959988542210794548736885190 0.0000000000000000013285094405359756967959106793963700173767909722241827019661997155708377249538898468
  16 4.12500E+17 0.996460354420030 0.996892 0.001631 158.417143198797731 0.000000 0.000000000000000 0.0000000000000000003263042595317292270070059339606244063295032084949450238917090238999207940651103854 0.0000000000000000012317946221249469252538441420042269947062356659877300525673948783378364169038832188
  17 4.37500E+17 0.996713643338938 0.996987 0.001553 150.887801144614059 0.000000 0.000000000000000 0.0000000000000000003107460976767559274062666954843393065655943378602845284658373614661286410409957170 0.0000000000000000011435509882191312754227459608432842213721657837521340252140422677484821178950369358
  18 4.62500E+17 0.996945090857476 0.997079 0.001479 143.800560964041495 0.000000 0.000000000000000 0.0000000000000000002961066998319196844998462295420106476572126104440354143684799304026000754674896598 0.0000000000000000010629340392718074649983577191274397842796816170826625265466436331962540862150490284
  19 4.87500E+17 0.997156844265443 0.997168 0.001410 137.124563318281105 0.000000 0.000000000000000 0.0000000000000000002823213079634934201942459288310311464492171027505058259615688953658718673978000879 0.0000000000000000009891910449635249455258619938896862476769701409397240673970763680244999704882502556
  20 5.12500E+17 0.997350820665160 0.997255 0.001345 130.831393073343975 0.000000 0.000000000000000 0.0000000000000000002693303769933017999991725145842770611708204296746554376115745377262555848574265838 0.0000000000000000009216504785485306048778099925067603547860295507953426463743085150781553238630294800
  21 5.37500E+17 0.997528733066379 0.997338 0.001284 124.894870363661127 0.000000 0.000000000000000 0.0000000000000000002570791167467483685320562936102903331058829751624370809834352336054053012048825622 0.0000000000000000008597127174851383249031318970920181763654481067102308949195998977188537537585943937
  22 5.62500E+17 0.997692113416985 0.997418 0.001226 119.290859907098792 0.000000 0.000000000000000 0.0000000000000000002455170759537656397426084488473278314264122593695406984726226085058442549780011177 0.0000000000000000008028418541106559926741713944900429827468852095170490350967140713578373834025114775
  23 5.87500E+17 0.997842332936353 0.997496 0.001172 113.997097070022235 0.000000 0.000000000000000 0.0000000000000000002345977644701853897679928874312168391247453927354990783904487017252904479391872883 0.0000000000000000007505584798212252155024530254870220958226142358520299301821721016381161462049931288
  24 6.12500E+17 0.997980620074145 0.997571 0.001120 108.993029273276250 0.000000 0.000000000000000 0.0000000000000000002242783102024360436179830052937260784359232435934656613510385092524757055798545480 0.0000000000000000007024333233985678542738568427816286976762670674373121530026375936017757339868694544
  25 6.37500E+17 0.998108076378421 0.997644 0.001071 104.259671424697288 0.000000 0.000000000000000 0.0000000000000000002145191475175882765481866355699842892269631405392172544648043963633199382456950843 0.0000000000000000006580816391001541340571407321830845977900485912263060534616032626331616484094411135
  26 6.62500E+17 0.998225690522682 0.997715 0.001025 99.779474158391338 0.000000 0.000000000000000 0.0000000000000000002052837342018111818176326205888793023025453204942410460540069827573006477905437350 0.0000000000000000006171582531952012122446306645290308244441476199433388623305507536542791058309376240
  27 6.87500E+17 0.998334350711318 0.997783 0.000982 95.536203753564934 0.000000 0.000000000000000 0.0000000000000000001965382942923126661777267809753106655965493147673287411408837854764897201675921679 0.0000000000000000005793531890265830805915242610270923603288164982059343151993280329747904033865779638
  28 7.12500E+17 0.998434855656407 0.997849 0.000940 91.514832694877896 0.000000 0.000000000000000 0.0000000000000000001882515843506832003969784212373187591426121072014151103940493570121361699420958757 0.0000000000000000005443878006293543210176119308878941856662384569006112467609570515492123377043753862
  29 7.37500E+17 0.998527924295469 0.997913 0.000901 87.701439921185880 0.000000 0.000000000000000 0.0000000000000000001803946809694742545048799727141776470807216129727687200547114887427824214682914317 0.0000000000000000005120113536202287534852275773600530020022555685969020775744064977175185049418359995
  30 7.62500E+17 0.998614204399332 0.997974 0.000864 84.083119889641623 0.000000 0.000000000000000 0.0000000000000000001729407875095100136010159300173998682774866668117146051297794429046916775405406952 0.0000000000000000004819979996591685923374152125177784326671716624986788884976718350117153022438287735
  31 7.87500E+17 0.998694280201191 0.998034 0.000828 80.647899657121627 0.000000 0.000000000000000 0.0000000000000000001658650582536529461347924664314478034568995371604991826385011588484985622926615179 0.0000000000000000004541440974132175070197741317697700999192432898482821301833212146448204293847084045
  32 8.12500E+17 0.998768679162187 0.998092 0.000795 77.384663250747536 0.000000 0.000000000000000 0.0000000000000000001591444383345625550617753407939704393214131376235747792821650925532139808638021350 0.0000000000000000004282658387414661465577701952363013433548096346245316048614859560927925485884770751
