EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
  17 4.37500E+17 0.000000 0.000000 0.354653 17288.9 0.000000     0.0 0.0000000000000000000000000000000007462069667880965993785600572664969758831708640758874628442579123384 0.0000000000000007520629995423814825052162619707294814785979251287040270312900247517973184585571289062
  18 4.62500E+17 0.000000 0.000000 0.357091 17407.8 0.000000     0.0 0.0000000000000000000000000000000007631132908711599753963982724583558980952828283682504124313759698745 0.0000000000000007520629995455053716898914687201599265971177585982099245143217558506876230239868164062
  19 4.87500E+17 0.000000 0.000000 0.359434 17522.0 0.000000     0.0 0.0000000000000000000000000000000007805152670755396974092992179766129002781627056166515176982577301617 0.0000000000000007520629995484688262879673521936647614186732054182560336386131893959827721118927001953
  20 5.12500E+17 0.000000 0.000000 0.361687 17631.8 0.000000     0.0 0.0000000000000000000000000000000007984262504776215476428705628062698355466913795866056086878855898888 0.0000000000000007520629995512807209846276487740548678896236969339261779765593018964864313602447509766
  21 5.37500E+17 0.000000 0.000000 0.363851 17737.3 0.000000     0.0 0.0000000000000000000000000000000008168599511261641566047954498012651513687788313803419023774187343482 0.0000000000000007520629995539497332498297895911897750241873437937467627989462926052510738372802734375
  22 5.62500E+17 0.000000 0.000000 0.365930 17838.7 0.000000     0.0 0.0000000000000000000000000000000008358304466968489725095827784397161653513614894172267381019060152716 0.0000000000000007520629995564837516926259847631236001080169738600145201701252517523244023323059082031
  23 5.87500E+17 0.000000 0.000000 0.367927 17936.0 0.000000     0.0 0.0000000000000000000000000000000008553521953288152303819600866890523944423156033747780019628948150034 0.0000000000000007520629995588910593525210549138131662910480563881410187576648240792565047740936279297
  24 6.12500E+17 0.000000 0.000000 0.369845 18029.5 0.000000     0.0 0.0000000000000000000000000000000008754400486527565437057577726689873253315490877213412432512274907025 0.0000000000000007520629995611783615472093786436044732660854950610784808162634362815879285335540771484
  25 6.37500E+17 0.000000 0.000000 0.371686 18119.3 0.000000     0.0 0.0000000000000000000000000000000008961092650200528507348536876366821877426948170250906160942204683006 0.0000000000000007520629995633526594172247924322705501241461746066152560530326809384860098361968994141
  26 6.62500E+17 0.000000 0.000000 0.373455 18205.5 0.000000     0.0 0.0000000000000000000000000000000009173755229458511460898120224520819788700101519190677242710909677440 0.0000000000000007520629995654203624574222170007303671598230176628674392702578188618645071983337402344
  27 6.87500E+17 0.000000 0.000000 0.375153 18288.3 0.000000     0.0 0.0000000000000000000000000000000009392549347782439747925286802514774555368986763609202397896362154315 0.0000000000000007520629995673875843398171151904758652694969658231149978178109449800103902816772460938
  28 7.12500E+17 0.000000 0.000000 0.376784 18367.8 0.000000     0.0 0.0000000000000000000000000000000009617640606073989061988208349515866932010928605193548574342251421765 0.0000000000000007520629995692600443059723393370962794852663192875230624423465997097082436084747314453
  29 7.37500E+17 0.000000 0.000000 0.378350 18444.1 0.000000     0.0 0.0000000000000000000000000000000009849199224295905619099225024540573875494934621885269797618604541523 0.0000000000000007520629995710427713441586733908511095767347558183057998348886030726134777069091796875
  30 7.62500E+17 0.000000 0.000000 0.379854 18517.5 0.000000     0.0 0.0000000000000000000000000000000010087400185810782188967756563942234247089665948895773183930526281215 0.0000000000000007520629995727414846959389696873295905760005756156283407420914954855106770992279052734
  31 7.87500E+17 0.000000 0.000000 0.381299 18587.9 0.000000     0.0 0.0000000000000000000000000000000010332423384580723839398781560412747090256896669940617975519311313881 0.0000000000000007520629995743603258810656385385101340580315133071964694977395993191748857498168945312
  32 8.12500E+17 0.000000 0.000000 0.382687 18655.6 0.000000     0.0 0.0000000000000000000000000000000010584453775385258674282968753091021971882951402233361973596481259720 0.0000000000000007520629995759039294573568533887495339281486052621095161896391800837591290473937988281
  33 8.37500E+17 0.000000 0.000000 0.384021 18720.6 0.000000     0.0 0.0000000000000000000000000000000010843681527222808125100021969629355701056870299696131094944501591730 0.0000000000000007520629995773767327674044824294532311595315671529093926039877260336652398109436035156
  34 8.62500E+17 0.000000 0.000000 0.385302 18783.0 0.000000     0.0 0.0000000000000000000000000000000011110302180078562981785590705502378128785225443020713028125419279081 0.0000000000000007520629995787823842928951728402212549967948318659083373205476164002902805805206298828
  35 8.87500E+17 0.000000 0.000000 0.386534 18843.1 0.000000     0.0 0.0000000000000000000000000000000011384516805207933658180229431199232207575734425066703263686336794915 0.0000000000000007520629995801245325155155718006536346845528322874185889190812304150313138961791992188
  36 9.12500E+17 0.000000 0.000000 0.387718 18900.8 0.000000     0.0 0.0000000000000000000000000000000011666532169129811559641640128300526906973842599642363927758719854756 0.0000000000000007520629995814069245245654791168260759334906616520310951301553359371609985828399658203
  37 9.37500E+17 0.000000 0.000000 0.388857 18956.3 0.000000     0.0 0.0000000000000000000000000000000011956560901495385465664788905599833314939106432174384018412113982212 0.0000000000000007520629995826328143712789314624359021239401114529432579303147576865740120410919189453
  38 9.62500E+17 0.000000 0.000000 0.389952 19009.7 0.000000     0.0 0.0000000000000000000000000000000012254821667008578416201333183887933933055597297433063018826559471486 0.0000000000000007520629995838048644612110497523263778398090110936802243912779886159114539623260498047
  39 9.87500E+17 0.000000 0.000000 0.391006 19061.1 0.000000     0.0 0.0000000000000000000000000000000012561539341587701194438166669257057025381852731342753914033838114753 0.0000000000000007520629995849265260608221759131461793935704727639968147911986307008191943168640136719
  40 1.01250E+18 0.000000 0.000000 0.392020 19110.5 0.000000     0.0 0.0000000000000000000000000000000012876945192932884315414281793482317159979974504037666977919869134338 0.0000000000000007520629995859999685376016677273601890387790241260246304477732337545603513717651367188
  41 1.03750E+18 0.000000 0.000000 0.392996 19158.1 0.000000     0.0 0.0000000000000000000000000000000013201277065697899314049955798812896604325809039273738253275605995984 0.0000000000000007520629995870282487275572566157143772236251359764036550359378452412784099578857421875
  42 1.06250E+18 0.000000 0.000000 0.393936 19203.9 0.000000     0.0 0.0000000000000000000000000000000013534779571438225109950713343960680392037207255344675611266683016847 0.0000000000000007520629995880134373905651477341979497355926756289867807225846263463608920574188232422
  43 1.08750E+18 0.000000 0.000000 0.394841 19248.0 0.000000     0.0 0.0000000000000000000000000000000013877704283524587769321764165022667982908010790625493445981242681574 0.0000000000000007520629995889577038941146988652757888282361707459056088254101268830709159374237060547
  44 1.11250E+18 0.000000 0.000000 0.395713 19290.6 0.000000     0.0 0.0000000000000000000000000000000014230309937210457886633324657805598912882956604311784908903953334238 0.0000000000000007520629995898636120361478782973154826193927903824065772653284511761739850044250488281
  45 1.13750E+18 0.000000 0.000000 0.396554 19331.5 0.000000     0.0 0.0000000000000000000000000000000014592862635048317204941316108306077091019567675063612532650312402041 0.0000000000000007520629995907327395384751280539278545661931001109490324552098172716796398162841796875
  46 1.16250E+18 0.000000 0.000000 0.397364 19371.0 0.000000     0.0 0.0000000000000000000000000000000014965636057826714466889680512634405435434568659748764536027797718582 0.0000000000000007520629995915672557685858059175777869221916275936645757127507749828509986400604248047
  47 1.18750E+18 0.000000 0.000000 0.398145 19409.1 0.000000     0.0 0.0000000000000000000000000000000015348911681248963824064530608506195362673479297473030496431702429852 0.0000000000000007520629995923685412330640486589247502123776177064551351492127650999464094638824462891
  48 1.21250E+18 0.000000 0.000000 0.398899 19445.9 0.000000     0.0 0.0000000000000000000000000000000015742978998531362786401482693441089348493581492422204151477403050304 0.0000000000000007520629995931386666917860614339579502242349377631736029314879488083533942699432373047
  49 1.23750E+18 0.000000 0.000000 0.399626 19481.3 0.000000     0.0 0.0000000000000000000000000000000016148135749123396128680369004752427713548249642325620903067776684334 0.0000000000000007520629995938790126513359810133368574827528326397219071708377668983303010463714599609
  50 1.26250E+18 0.000000 0.000000 0.400328 19515.5 0.000000     0.0 0.0000000000000000000000000000000016564688153767857429217650302547215005188324369857513241890022465508 0.0000000000000007520629995945911568335242494206722954450618679085593942801324374158866703510284423828
  51 1.28750E+18 0.000000 0.000000 0.401006 19548.6 0.000000     0.0 0.0000000000000000000000000000000016992951156076124103281952526826033960855345182167521829294592175951 0.0000000000000007520629995952762825297086981736723817040099677490305740690246238955296576023101806641
  52 1.31250E+18 0.000000 0.000000 0.401661 19580.5 0.000000     0.0 0.0000000000000000000000000000000017433248670871432038661570925315622097774180709698883524003172553563 0.0000000000000007520629995959358688540866166694722632506570373853160837995801557553932070732116699219
  53 1.33750E+18 0.000000 0.000000 0.402293 19611.3 0.000000     0.0 0.0000000000000000000000000000000017885913839467570104254702328303140603304086372234877844489496270278 0.0000000000000007520629995965711977056289890522557341439216613450391424322560851578600704669952392578
  54 1.36250E+18 0.000000 0.000000 0.402905 19641.1 0.000000     0.0 0.0000000000000000000000000000000018351289292144682572414587565053586847774899969624274436190812406935 0.0000000000000007520629995971831565528541889603038825784397827627081323242919097538106143474578857422
  55 1.38750E+18 0.000000 0.000000 0.403496 19669.9 0.000000     0.0 0.0000000000000000000000000000000018829727418010420776833119709538466664489432461080883723305562145737 0.0000000000000007520629995977732245099595057907518555452713068625036907377534589613787829875946044922
  56 1.41250E+18 0.000000 0.000000 0.404067 19697.8 0.000000     0.0 0.0000000000000000000000000000000019321590642497268220343871007946049048572921831204045912488340320731 0.0000000000000007520629995983420918302370079289293883069108560823767817282714531756937503814697265625
  57 1.43750E+18 0.000000 0.000000 0.404620 19724.8 0.000000     0.0 0.0000000000000000000000000000000019827251712715922567456756854141196311235002898163527575806125789394 0.0000000000000007520629995988910404126576795190202749222770149499506242563029445591382682323455810547
  58 1.46250E+18 0.000000 0.000000 0.405156 19750.9 0.000000     0.0 0.0000000000000000000000000000000020347093990905261108130246454159642082224419732812961789727192534145 0.0000000000000007520629995994209577257398941993056035860057265997336006790874307625927031040191650391
  59 1.48750E+18 0.000000 0.000000 0.405674 19776.1 0.000000     0.0 0.0000000000000000000000000000000020881511756232060808398710787360002894418424960086817045530264775383 0.0000000000000007520629995999324354151625677286394330945209531213979659014512435533106327056884765625
  60 1.51250E+18 0.000000 0.000000 0.406176 19800.6 0.000000     0.0 0.0000000000000000000000000000000021430910515166901021246846384348481950327244602712106202186399485566 0.0000000000000007520629996004265581646703789982542045745999583460095205822426578379236161708831787109
  61 1.53750E+18 0.000000 0.000000 0.406662 19824.3 0.000000     0.0 0.0000000000000000000000000000000021995707320726234848286752239505142244997014622107171524143476935118 0.0000000000000007520629996009042134427817016464310062208786854080766470787011712673120200634002685547
  62 1.56250E+18 0.000000 0.000000 0.407133 19847.3 0.000000     0.0 0.0000000000000000000000000000000022576331100799424664902282296963937037913052672727062093639204274227 0.0000000000000007520629996013657956799491461790725438976397757007141819940443383529782295227050781250
  63 1.58750E+18 0.000000 0.000000 0.407589 19869.5 0.000000     0.0 0.0000000000000000000000000000000023173222995872910463582955207484431153606724291610703942782882235057 0.0000000000000007520629996018122909523042388609355822655898327067092168363160453736782073974609375000
  64 1.61250E+18 0.000000 0.000000 0.408032 19891.1 0.000000     0.0 0.0000000000000000000000000000000023786836706393765277061934592565750746518496909780465025440646766688 0.0000000000000007520629996022441922979127428243985036550821581674552973595382354687899351119995117188
  65 1.63750E+18 0.000000 0.000000 0.408462 19912.0 0.000000     0.0 0.0000000000000000000000000000000024417638850071053357888111111323914265375066242093683897098167148712 0.0000000000000007520629996026620913624535738283153668625407141726246784685372404055669903755187988281
  66 1.66250E+18 0.000000 0.000000 0.408878 19932.3 0.000000     0.0 0.0000000000000000000000000000000025066109329407635329857932942063247323512731388235892587339758491503 0.0000000000000007520629996030670728296714107639186130147427645532831608221613350906409323215484619141
  67 1.68750E+18 0.000000 0.000000 0.409283 19952.1 0.000000     0.0 0.0000000000000000000000000000000025732741709738222260277867925140168359463627943575022915354697373084 0.0000000000000007520629996034590380919531010047325656456176489611520352696061308961361646652221679688
  68 1.71250E+18 0.000000 0.000000 0.409675 19971.2 0.000000     0.0 0.0000000000000000000000000000000026418043608117044672760682401641637674124339926595528792558578459140 0.0000000000000007520629996038387760102038655625626364837306501824609750173067368450574576854705810547
  69 1.73750E+18 0.000000 0.000000 0.410056 19989.8 0.000000     0.0 0.0000000000000000000000000000000027122537093329138930502409120991923228430896071912345066985063728938 0.0000000000000007520629996042070754453289254492142372576470510034396532716982619604095816612243652344
  70 1.76250E+18 0.000000 0.000000 0.410427 20007.8 0.000000     0.0 0.0000000000000000000000000000000027846759097381839711316957362310562249869963106734489995541117850596 0.0000000000000007520629996045640350049414332911630444334375117723667791835850948700681328773498535156
  71 1.78750E+18 0.000000 0.000000 0.410787 20025.4 0.000000     0.0 0.0000000000000000000000000000000028591261838777908274366673332228911143247397950462982533517468113008 0.0000000000000007520629996049103449423334574737387932735966549271933168085979559691622853279113769531
  72 1.81250E+18 0.000000 0.000000 0.411136 20042.4 0.000000     0.0 0.0000000000000000000000000000000029356613257934049104573558297822426156747606915202307475949065621985 0.0000000000000007520629996052462024727313032498928367102658011644766844483456225134432315826416015625
  73 1.83750E+18 0.000000 0.000000 0.411477 20059.0 0.000000     0.0 0.0000000000000000000000000000000030143397465093815570065557452354335022961822781942004040368147866661 0.0000000000000007520629996055723964570401916314305864720102332704465553092632035259157419204711914062
  74 1.86250E+18 0.000000 0.000000 0.411807 20075.1 0.000000     0.0 0.0000000000000000000000000000000030952215201074640784063622539289881621439511474617329092458807438162 0.0000000000000007520629996058890255028732752448277190249006115933816385421550876344554126262664794922
  75 1.88750E+18 0.000000 0.000000 0.412129 20090.8 0.000000     0.0 0.0000000000000000000000000000000031783684311237700043812383661293260927225352133123047948143505976401 0.0000000000000007520629996061964840406831645959869402332195775263967707502388293505646288394927978516
  76 1.91250E+18 0.000000 0.000000 0.412442 20106.1 0.000000     0.0 0.0000000000000000000000000000000032638440233063854502725141474288200990592897920950616579681549953435 0.0000000000000007520629996064954623237619280702379853594617535074429159891451490693725645542144775391
  77 1.93750E+18 0.000000 0.000000 0.412747 20120.9 0.000000     0.0 0.0000000000000000000000000000000033517136497712080033117226027798601859943439155612447265894469442689 0.0000000000000007520629996067856645292701077881538250054151584916839468064608809072524309158325195312
  78 1.96250E+18 0.000000 0.000000 0.413044 20135.4 0.000000     0.0 0.0000000000000000000000000000000034420445245964513567110148987296961741363406683620530105146202840573 0.0000000000000007520629996070678795181129247615398708996450752653495364086211338872089982032775878906
  79 1.98750E+18 0.000000 0.000000 0.413333 20149.5 0.000000     0.0 0.0000000000000000000000000000000035349057758992488649397782268453103026680087915645047641991748619562 0.0000000000000007520629996073424031131298368698231524403634848732758122480390738928690552711486816406
  80 2.01250E+18 0.000000 0.000000 0.413614 20163.2 0.000000     0.0 0.0000000000000000000000000000000036303685004347336691018782345926514255294486238352547147113507495189 0.0000000000000007520629996076095311371603019924306990257823683602989017771278668078593909740447998047
