EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep=      2
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
   0 1.25000E+16 0.986128693810572 0.994831 0.001972 189.714006236205677 0.001959 14853.753912436992323 -0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000048501665757369223422627242833836029071891901056896943128515786725074576679617166519
   1 3.75000E+16 0.987390893335122 0.994996 0.001854 178.599532299009610 0.001844 15381.040301872350028 -0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000044060370828470257768461934150176676732001488021582026599620718343430780805647373199
   2 6.25000E+16 0.988523091261005 0.995155 0.001745 168.274579854082617 0.001737 15919.179811997712022 -0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000040081486954059234450724942153993327364958993939416612845016985033907985780388116837
   3 8.75000E+16 0.989539680992922 0.995308 0.001644 158.675626494487062 0.001637 16467.658283894132182 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000036512873691073967934706509705216300064148615724655445868851444402025663293898105621
   4 1.12500E+17 0.990453400337688 0.995457 0.001550 149.744541961223064 0.001545 17025.915593770205305 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000033308577073771896559368354528105261866313896623639344979350696007713850121945142746
   5 1.37500E+17 0.991275524151539 0.995600 0.001463 141.428146298311759 0.001459 17593.350493108297087 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000030428069884422996437033422654123219401425360482670804534999220436475297901779413223
   6 1.62500E+17 0.992016034983705 0.995739 0.001382 133.677796564089903 0.001379 18169.325890029758739 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000027835587544635391631675777416551188629851750408190740049274580769633757881820201874
   7 1.87500E+17 0.992683774055749 0.995873 0.001306 126.449002222059988 0.001304 18753.174493566442834 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000025499547368879188523488940760299884378264423387210578508810243647531024180352687836
   8 2.12500E+17 0.993286574716713 0.996002 0.001236 119.701068753699758 0.001234 19344.204732598926057 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000023392040515889153432605550792270313369250817756630220559110888700615760171785950661
   9 2.37500E+17 0.993831380317825 0.996127 0.001170 113.396768614036148 0.001169 19941.706854208845471 0.0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000 0.0000000000000000021488387358053513039016526568167342308385025100882486509545898911710537504404783249
