InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.168331 16411.848198033501831 0.156006 16411.848198027302715 0.000000 13026.117858557428917 0.000000 16411.843933432672202 0.012324 16411.848198033476365 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000000 0.168232 16402.271491374398465 0.155915 16402.271491368097486 0.000000 13015.918162256190044 0.000000 16402.267195914628246 0.012317 16402.271491374376637 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000000 0.168105 16389.816766012841981 0.155797 16389.816766006442776 0.000000 13003.333602848948431 0.000000 16389.812439071025437 0.012308 16389.816766012820153 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000000 0.167959 16375.565021369155147 0.155661 16375.565021362654079 0.000000 12989.229801559831685 0.000000 16375.560661879417239 0.012297 16375.565021369131500 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000000 0.167802 16360.311694810623521 0.155516 16360.311694804007857 0.000000 12974.244855483822903 0.000000 16360.307301524715513 0.012286 16360.311694810583504 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000000 0.167641 16344.628168636476403 0.155367 16344.628168629773427 0.000000 12958.838212311207826 0.000000 16344.623740306451509 0.012274 16344.628168636456394 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000000 0.167480 16328.914365827016809 0.155218 16328.914365820206513 0.000000 12943.332498273559395 0.000000 16328.909901377290225 0.012262 16328.914365826993162 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000000 0.167321 16313.441892446970087 0.155071 16313.441892440048832 0.000000 12927.947854045916756 0.000000 16313.437390464327109 0.012251 16313.441892446948259 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000000 0.167167 16298.388251542644866 0.154928 16298.388251535614472 0.000000 12912.829184962785803 0.000000 16298.383710810383491 0.012239 16298.388251542628495 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000000 0.167018 16283.863234739685140 0.154790 16283.863234732543788 0.000000 12898.067192740934843 0.000000 16283.858653765842973 0.012228 16283.863234739674226 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000000 0.166875 16269.928809742228623 0.154657 16269.928809734956303 0.000000 12883.714239176888441 0.000000 16269.924187513315701 0.012218 16269.928809742201338 0.0000000000
