InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
  42 1.06250E+18 0.000000000000000 0.532146 0.127014 12885.638572465772086 0.122484 12885.313494728256046 0.000000 10746.462164936860063 0.005202 13016.605606939341669 0.004527 12885.638269799057525 0.0000000000
  43 1.08750E+18 0.000000000000000 0.535575 0.126947 12882.209160363865522 0.122451 12881.882052871686028 0.000000 10742.636402359697968 0.005234 13014.003431677294429 0.004493 12882.208855615346693 0.0000000000
  44 1.11250E+18 0.000000000000000 0.539002 0.126875 12878.196420308402594 0.122413 12877.867300542435260 0.000000 10738.286317271107691 0.005266 13010.810419868857934 0.004458 12878.196113504654932 0.0000000000
  45 1.13750E+18 0.000000000000000 0.542425 0.126797 12873.694088853593712 0.122370 12873.362972393884775 0.000000 10733.491476007548044 0.005298 13007.121180230757091 0.004424 12873.693780017732934 0.0000000000
  46 1.16250E+18 0.000000000000000 0.545845 0.126716 12868.778423800526070 0.122324 12868.445324715474271 0.000000 10728.316657436775131 0.005330 13003.012666514539887 0.004389 12868.778112952939409 0.0000000000
  47 1.18750E+18 0.000000000000000 0.549261 0.126631 12863.530234532543545 0.122274 12863.195165207820537 0.000000 10722.830507219496212 0.005361 12998.566458255094403 0.004354 12863.529921690551419 0.0000000000
  48 1.21250E+18 0.000000000000000 0.552673 0.126544 12858.004280638171622 0.122221 12857.667252404933606 0.000000 10717.079599723567298 0.005393 12993.837802401340014 0.004319 12858.003965817144490 0.0000000000
  49 1.23750E+18 0.000000000000000 0.556080 0.126454 12852.270695652279755 0.122167 12851.931718342884778 0.000000 10711.123540500508170 0.005424 12988.897516873452332 0.004284 12852.270378864817758 0.0000000000
  50 1.26250E+18 0.000000000000000 0.559483 0.126363 12846.360379658379316 0.122110 12846.019462600374027 0.000000 10704.988685337022616 0.005455 12983.776740098095615 0.004250 12846.360060916083967 0.0000000000
  51 1.28750E+18 0.000000000000000 0.562880 0.126271 12840.320116099657753 0.122053 12839.977267668469722 0.000000 10698.714837632374838 0.005486 12978.522692941882269 0.004215 12840.319795412357053 0.0000000000
  52 1.31250E+18 0.000000000000000 0.566271 0.126178 12834.185704175173669 0.121995 12833.840932056391466 0.000000 10692.332505430187666 0.005517 12973.171493264948367 0.004180 12834.185381551327737 0.0000000000
  53 1.33750E+18 0.000000000000000 0.569656 0.126085 12827.986515673410395 0.121936 12827.639827010811132 0.000000 10685.866734985169387 0.005547 12967.752764683134956 0.004146 12827.986191120444346 0.0000000000
  54 1.36250E+18 0.000000000000000 0.573035 0.125991 12821.747552446824557 0.121876 12821.398953939504281 0.000000 10679.338861261470811 0.005578 12962.291716578827618 0.004111 12821.747225971219450 0.0000000000
  55 1.38750E+18 0.000000000000000 0.576408 0.125897 12815.490026669271174 0.121817 12815.139524656575304 0.000000 10672.766999390050842 0.005608 12956.809730182016210 0.004077 12815.489698276771378 0.0000000000
  56 1.41250E+18 0.000000000000000 0.579773 0.125803 12809.225545262263040 0.121757 12808.873145971894701 0.000000 10666.161116236646194 0.005639 12951.318469926827674 0.004042 12809.225214958303695 0.0000000000
  57 1.43750E+18 0.000000000000000 0.583132 0.125709 12802.982019969669636 0.121698 12802.627729055775490 0.000000 10659.544983971843976 0.005669 12945.846110373635383 0.004008 12802.981687758550834 0.0000000000
  58 1.46250E+18 0.000000000000000 0.586482 0.125616 12796.765640470594008 0.121639 12796.409463598300135 0.000000 10652.923960721511321 0.005699 12940.398843187724196 0.003974 12796.765306356506699 0.0000000000
  59 1.48750E+18 0.000000000000000 0.589825 0.125523 12790.581197785972108 0.121580 12790.223140663876620 0.000000 10646.302209291096005 0.005729 12934.981446444760877 0.003940 12790.580861773092693 0.0000000000
  60 1.51250E+18 0.000000000000000 0.593159 0.125431 12784.449207639096130 0.121522 12784.089275570217069 0.000000 10639.697207908813652 0.005759 12929.614622064016658 0.003906 12784.448869730742445 0.0000000000
  61 1.53750E+18 0.000000000000000 0.596485 0.125340 12778.370992163210758 0.121464 12778.009190573126034 0.000000 10633.110162241106082 0.005789 12924.299643197926343 0.003872 12778.370652362829787 0.0000000000
  62 1.56250E+18 0.000000000000000 0.599802 0.125249 12772.347226524454527 0.121407 12771.983560976110311 0.000000 10626.541721853469426 0.005819 12919.037129355067009 0.003838 12772.346884835620585 0.0000000000
  63 1.58750E+18 0.000000000000000 0.603109 0.125159 12766.393454522334650 0.121350 12766.027930286627452 0.000000 10620.005127507658472 0.005849 12913.842758614480772 0.003805 12766.393110947989044 0.0000000000
  64 1.61250E+18 0.000000000000000 0.606408 0.125069 12760.508157854936144 0.121294 12760.140780389767315 0.000000 10613.499154571032705 0.005878 12908.714934296252977 0.003772 12760.507812398263923 0.0000000000
  65 1.63750E+18 0.000000000000000 0.609696 0.124981 12754.689640975104339 0.121239 12754.320415928681541 0.000000 10607.022421825840865 0.005908 12903.651880702624112 0.003738 12754.689293639523385 0.0000000000
  66 1.66250E+18 0.000000000000000 0.612974 0.124893 12748.950067740161103 0.121184 12748.579000545363670 0.000000 10600.585285695491621 0.005937 12898.665860923070795 0.003705 12748.949718528601807 0.0000000000
  67 1.68750E+18 0.000000000000000 0.616243 0.124806 12743.286367544646055 0.121130 12742.913463854809379 0.000000 10594.185187682576725 0.005967 12893.753710472872626 0.003672 12743.286016460326209 0.0000000000
  68 1.71250E+18 0.000000000000000 0.619500 0.124720 12737.695577198552201 0.121077 12737.320842883365913 0.000000 10587.819654301378250 0.005996 12888.912373680921519 0.003640 12737.695224244991550 0.0000000000
