InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.237186 23125.130807273468236 0.219821 23125.130807273468236 0.000000 18351.459561568844947 0.000000 23125.124997285358404 0.017366 23125.130807273471873 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000000 0.238577 23260.740488454928709 0.221110 23260.740488454917795 0.000000 18455.733553528600169 0.000000 23260.734605942696362 0.017468 23260.740488454914157 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000000 0.239718 23371.943385450704227 0.222167 23371.943385450682399 0.000000 18540.471898656709527 0.000000 23371.937435108429781 0.017551 23371.943385450678761 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000000 0.240644 23462.247856596492056 0.223025 23462.247856596499332 0.000000 18608.471804336280911 0.000000 23462.241840547405445 0.017619 23462.247856596499332 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000000 0.241382 23534.162553686779574 0.223709 23534.162553686772299 0.000000 18661.732109706554184 0.000000 23534.156475517647777 0.017673 23534.162553686765023 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000000 0.241955 23590.066153436284367 0.224240 23590.066153436288005 0.000000 18702.147693583741784 0.000000 23590.060014652390237 0.017715 23590.066153436288005 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000000 0.242386 23632.070546903305512 0.224639 23632.070546903305512 0.000000 18731.401454353788722 0.000000 23632.064348887633969 0.017747 23632.070546903305512 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000000 0.242693 23662.052073019825912 0.224924 23662.052073019811360 0.000000 18750.989238947098784 0.000000 23662.045816807072697 0.017769 23662.052073019804084 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000000 0.242897 23681.920443813232851 0.225113 23681.920443813218299 0.000000 18762.432930765036872 0.000000 23681.914130733199272 0.017784 23681.920443813214661 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000000 0.243014 23693.267759779926564 0.225221 23693.267759779919288 0.000000 18767.002216133321781 0.000000 23693.261388671220629 0.017792 23693.267759779915650 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000000 0.243057 23697.449874975296552 0.225261 23697.449874975303828 0.000000 18765.779322133334063 0.000000 23697.443446335408225 0.017796 23697.449874975303828 0.0000000000
  11 2.87500E+17 0.000000000000000 0.000000 0.243039 23695.769265891798568 0.225245 23695.769265891787654 0.000000 18759.803360729300039 0.000000 23695.762779602813680 0.017794 23695.769265891787654 0.0000000000
  12 3.12500E+17 0.000000000000000 0.000000 0.242974 23689.379758377963299 0.225184 23689.379758377963299 0.000000 18749.995261318868870 0.000000 23689.373213456583471 0.017790 23689.379758377963299 0.0000000000
  13 3.37500E+17 0.000000000000000 0.000000 0.242868 23679.078819499889505 0.225086 23679.078819499896781 0.000000 18736.993365329501103 0.000000 23679.072215676391352 0.017782 23679.078819499893143 0.0000000000
  14 3.62500E+17 0.000000000000000 0.000000 0.242732 23665.798933120553556 0.224960 23665.798933120553556 0.000000 18721.542069512855960 0.000000 23665.792268566543498 0.017772 23665.798933120553556 0.0000000000
  15 3.87500E+17 0.000000000000000 0.000000 0.242572 23650.216982025151083 0.224812 23650.216982025151083 0.000000 18704.182990571302071 0.000000 23650.210258117655030 0.017760 23650.216982025151083 0.0000000000
  16 4.12500E+17 0.000000000000000 0.000000 0.242394 23632.835229376243660 0.224647 23632.835229376261850 0.000000 18685.319132546592300 0.000000 23632.828441978123010 0.017747 23632.835229376265488 0.0000000000
  17 4.37500E+17 0.000000000000000 0.000000 0.242203 23614.197859567797423 0.224470 23614.197859567811975 0.000000 18665.385998250763805 0.000000 23614.191008955342113 0.017733 23614.197859567808337 0.0000000000
  18 4.62500E+17 0.000000000000000 0.000000 0.242002 23594.632123640960344 0.224284 23594.632123640960344 0.000000 18644.647178111685207 0.000000 23594.625207811994187 0.017718 23594.632123640963982 0.0000000000
  19 4.87500E+17 0.000000000000000 0.000000 0.241797 23574.599650015596126 0.224093 23574.599650015610678 0.000000 18623.471810751572775 0.000000 23574.592668216948368 0.017703 23574.599650015614316 0.0000000000
  20 5.12500E+17 0.000000000000000 0.000000 0.241588 23554.229633706694585 0.223900 23554.229633706720051 0.000000 18601.966108909979084 0.000000 23554.222583376205876 0.017688 23554.229633706720051 0.0000000000
  21 5.37500E+17 0.000000000000000 0.000000 0.241378 23533.805024299628712 0.223705 23533.805024299639626 0.000000 18580.357218966346409 0.000000 23533.797904528000799 0.017673 23533.805024299643264 0.0000000000
  22 5.62500E+17 0.000000000000000 0.000000 0.241170 23513.497647875323310 0.223512 23513.497647875330586 0.000000 18558.784173228941654 0.000000 23513.490457272495405 0.017657 23513.497647875330586 0.0000000000
  23 5.87500E+17 0.000000000000000 0.000000 0.240965 23493.511720609720214 0.223322 23493.511720609716576 0.000000 18537.411176110683300 0.000000 23493.504456732738618 0.017642 23493.511720609712938 0.0000000000
  24 6.12500E+17 0.000000000000000 0.000000 0.240763 23473.815826446403662 0.223135 23473.815826446392748 0.000000 18516.216260299876012 0.000000 23473.808488725560892 0.017628 23473.815826446392748 0.0000000000
  25 6.37500E+17 0.000000000000000 0.000000 0.240565 23454.558999235785450 0.222952 23454.558999235770898 0.000000 18495.319501509067777 0.000000 23454.551585820641776 0.017613 23454.558999235767260 0.0000000000
  26 6.62500E+17 0.000000000000000 0.000000 0.240373 23435.801116632384947 0.222774 23435.801116632388585 0.000000 18474.770395273772010 0.000000 23435.793625504771626 0.017599 23435.801116632388585 0.0000000000
  27 6.87500E+17 0.000000000000000 0.000000 0.240187 23417.653208292424097 0.222601 23417.653208292416821 0.000000 18454.658510350684082 0.000000 23417.645637182184146 0.017586 23417.653208292420459 0.0000000000
  28 7.12500E+17 0.000000000000000 0.000000 0.240006 23400.007923502154881 0.222434 23400.007923502154881 0.000000 18434.901107518602657 0.000000 23400.000271886470728 0.017572 23400.007923502151243 0.0000000000
  29 7.37500E+17 0.000000000000000 0.000000 0.239831 23382.951397864453611 0.222271 23382.951397864442697 0.000000 18415.567758546625555 0.000000 23382.943663807378471 0.017559 23382.951397864442697 0.0000000000
  30 7.62500E+17 0.000000000000000 0.000000 0.239663 23366.560001713049132 0.222116 23366.560001713027305 0.000000 18396.720137293843436 0.000000 23366.552183222116582 0.017547 23366.560001713023667 0.0000000000
  31 7.87500E+17 0.000000000000000 0.000000 0.239500 23350.700131591227546 0.221965 23350.700131591209356 0.000000 18378.254394782739837 0.000000 23350.692227426607133 0.017535 23350.700131591202080 0.0000000000
  32 8.12500E+17 0.000000000000000 0.000000 0.239344 23335.502568238371168 0.221820 23335.502568238385720 0.000000 18360.274773676035693 0.000000 23335.494575650631305 0.017524 23335.502568238389358 0.0000000000
  33 8.37500E+17 0.000000000000000 0.000000 0.239194 23320.891395071826992 0.221681 23320.891395071816078 0.000000 18342.722626831011439 0.000000 23320.883313218702824 0.017513 23320.891395071819716 0.0000000000
  34 8.62500E+17 0.000000000000000 0.000000 0.239050 23306.854848730785307 0.221548 23306.854848730807134 0.000000 18325.589734356912231 0.000000 23306.846675763390522 0.017502 23306.854848730807134 0.0000000000
  35 8.87500E+17 0.000000000000000 0.000000 0.238911 23293.312550733724493 0.221419 23293.312550733724493 0.000000 18308.813804977002292 0.000000 23293.304285178001010 0.017492 23293.312550733731769 0.0000000000
  36 9.12500E+17 0.000000000000000 0.000000 0.238779 23280.380969790425297 0.221296 23280.380969790425297 0.000000 18292.487344117693283 0.000000 23280.372609042489785 0.017482 23280.380969790428935 0.0000000000
  37 9.37500E+17 0.000000000000000 0.000000 0.238652 23267.976353943773574 0.221178 23267.976353943773574 0.000000 18276.545244869652379 0.000000 23267.967897044210986 0.017473 23267.976353943773574 0.0000000000
  38 9.62500E+17 0.000000000000000 0.000000 0.238530 23256.080559418984194 0.221065 23256.080559418984194 0.000000 18260.973967058820563 0.000000 23256.072004550322163 0.017464 23256.080559418984194 0.0000000000
  39 9.87500E+17 0.000000000000000 0.000000 0.238413 23244.674992289565125 0.220957 23244.674992289572401 0.000000 18245.759560221620632 0.000000 23244.666337525992276 0.017456 23244.674992289579677 0.0000000000
  40 1.01250E+18 0.000000000000000 0.000000 0.238301 23233.805212617444340 0.220854 23233.805212617437064 0.000000 18230.938440283589443 0.000000 23233.796455941177555 0.017447 23233.805212617433426 0.0000000000
  41 1.03750E+18 0.000000000000000 0.000000 0.238194 23223.323457081667584 0.220754 23223.323457081678498 0.000000 18216.395046644829563 0.000000 23223.314596769960190 0.017440 23223.323457081682136 0.0000000000
