InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000772 0.149998 14625.319114423795327 0.139024 14625.318584100830776 0.000000 11621.589939388028142 0.000008 14625.514108857300016 0.010974 14625.319113718634981 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000783 0.150608 14684.728311083146764 0.139589 14684.727771053003380 0.000000 11667.055282527788222 0.000009 14684.929043063601057 0.011019 14684.728310365137077 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000794 0.151057 14728.583100040388672 0.140006 14728.582550690391145 0.000000 11700.013332641381567 0.000009 14728.788918620419281 0.011052 14728.583099310062607 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000806 0.151374 14759.500470307981232 0.140299 14759.499911947546934 0.000000 11722.553433905353813 0.000009 14759.710827716191488 0.011075 14759.500469565697131 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000817 0.151584 14779.925499841150668 0.140494 14779.924932703663217 0.000000 11736.628791753322730 0.000009 14780.139948629497667 0.011090 14779.925499087237768 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000829 0.151708 14792.044365019251927 0.140609 14792.043789267378088 0.000000 11743.986862657060556 0.000009 14792.262551290996271 0.011099 14792.044364253903041 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000841 0.151766 14797.741342635210458 0.140663 14797.740758368532624 0.000000 11746.134810084355195 0.000009 14797.962995531723209 0.011103 14797.741341858551095 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000853 0.151775 14798.590422404133278 0.140671 14798.589829667762388 0.000000 11744.332581983269847 0.000009 14798.815342421890819 0.011104 14798.590421616216190 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000866 0.151747 14795.871071100700647 0.140645 14795.870469893958216 0.000000 11739.605290347508344 0.000010 14796.099118458931116 0.011101 14795.871070301507643 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000878 0.151692 14790.598512560462041 0.140595 14790.597902845056524 0.000000 11732.767214846335264 0.000010 14790.829596344516176 0.011097 14790.598511749951285 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000891 0.151620 14783.560831016482553 0.140528 14783.560212723756194 0.000000 11724.451292217790979 0.000010 14783.794899372654982 0.011092 14783.560830194550363 0.0000000000
  11 2.87500E+17 0.000000000000000 0.000904 0.151536 14775.357424367115527 0.140450 14775.356797404358076 0.000000 11715.139724020742506 0.000010 14775.594455745454979 0.011086 14775.357423533674591 0.0000000000
  12 3.12500E+17 0.000000000000000 0.000917 0.151444 14766.435303850345008 0.140365 14766.434668105859600 0.000000 11705.192898155097282 0.000010 14766.675300394308579 0.011079 14766.435303005198875 0.0000000000
  13 3.37500E+17 0.000000000000000 0.000931 0.151348 14757.121310697470108 0.140277 14757.120666044906102 0.000000 11694.875074731393397 0.000010 14757.364292451069559 0.011072 14757.121309840469621 0.0000000000
  14 3.62500E+17 0.000000000000000 0.000944 0.151251 14747.649471725371768 0.140187 14747.648818026966183 0.000000 11684.376212017899888 0.000010 14747.895472053813137 0.011064 14747.649470856324115 0.0000000000
  15 3.87500E+17 0.000000000000000 0.000958 0.151154 14738.183440260883799 0.140097 14738.182777370087933 0.000000 11673.829880400879119 0.000011 14738.432502412844769 0.011057 14738.183439379603442 0.0000000000
  16 4.12500E+17 0.000000000000000 0.000972 0.151058 14728.834408215743679 0.140008 14728.833735979183984 0.000000 11663.327569589373525 0.000011 14729.086582843143333 0.011050 14728.834407322021434 0.0000000000
  17 4.37500E+17 0.000000000000000 0.000987 0.150964 14719.675072140875272 0.139921 14719.674390399835829 0.000000 11652.929850535756486 0.000011 14719.930414755388483 0.011043 14719.675071234505594 0.0000000000
  18 4.62500E+17 0.000000000000000 0.001001 0.150872 14710.750317567624734 0.139836 14710.749626159144100 0.000000 11642.674918827035071 0.000011 14711.008888007103451 0.011036 14710.750316648380249 0.0000000000
  19 4.87500E+17 0.000000000000000 0.001016 0.150783 14702.085306016329923 0.139754 14702.084604774025138 0.000000 11632.585072651050723 0.000011 14702.347166319435928 0.011029 14702.085305084005086 0.0000000000
  20 5.12500E+17 0.000000000000000 0.001031 0.150697 14693.691207294426931 0.139674 14693.690496049053763 0.000000 11622.671271890081698 0.000011 14693.956421434726508 0.011023 14693.691206348785272 0.0000000000
  21 5.37500E+17 0.000000000000000 0.001046 0.150613 14685.569911950275127 0.139597 14685.569190530155538 0.000000 11612.936963424468559 0.000012 14685.838545286820590 0.011017 14685.569910991091092 0.0000000000
  22 5.62500E+17 0.000000000000000 0.001062 0.150533 14677.716908342175884 0.139522 14677.716176573479970 0.000000 11603.380353206652217 0.000012 14677.989026993940570 0.011011 14677.716907369222099 0.0000000000
  23 5.87500E+17 0.000000000000000 0.001078 0.150455 14670.123595873432350 0.139450 14670.122853580382071 0.000000 11593.996275226878424 0.000012 14670.399266727001304 0.011005 14670.123594886492356 0.0000000000
  24 6.12500E+17 0.000000000000000 0.001094 0.150379 14662.778885152352814 0.139380 14662.778132157292930 0.000000 11584.777480585627927 0.000012 14663.058175598005619 0.010999 14662.778884151155580 0.0000000000
  25 6.37500E+17 0.000000000000000 0.001110 0.150306 14655.670243236712849 0.139312 14655.669479360270998 0.000000 11575.715456760917732 0.000012 14655.953220642424640 0.010993 14655.670242221021908 0.0000000000
  26 6.62500E+17 0.000000000000000 0.001127 0.150235 14648.784541248094683 0.139247 14648.783766309194107 0.000000 11566.801150290208170 0.000012 14649.071273551035119 0.010988 14648.784540217682661 0.0000000000
  27 6.87500E+17 0.000000000000000 0.001144 0.150166 14642.108502719132957 0.139184 14642.107716535003419 0.000000 11558.025303083162726 0.000013 14642.399057957874902 0.010983 14642.108501673763385 0.0000000000
  28 7.12500E+17 0.000000000000000 0.001161 0.150100 14635.629066723346114 0.139122 14635.628269109509347 0.000000 11549.378759081493627 0.000013 14635.923513019288293 0.010978 14635.629065662760695 0.0000000000
  29 7.37500E+17 0.000000000000000 0.001178 0.150035 14629.333584245741804 0.139062 14629.332775016036976 0.000000 11540.852605560343363 0.000013 14629.631990030202360 0.010973 14629.333583169700432 0.0000000000
  30 7.62500E+17 0.000000000000000 0.001196 0.149972 14623.210040107422174 0.139004 14623.209219073964050 0.000000 11532.438448846003666 0.000013 14623.512473881119149 0.010968 14623.210039015686561 0.0000000000
  31 7.87500E+17 0.000000000000000 0.001214 0.149911 14617.246911534120954 0.138947 14617.246078507239872 0.000000 11524.128079775609876 0.000013 14617.553442243106474 0.010964 14617.246910426401882 0.0000000000
  32 8.12500E+17 0.000000000000000 0.001232 0.149851 14611.433446133169127 0.138892 14611.432600921461926 0.000000 11515.913931872539251 0.000014 14611.744142586992893 0.010959 14611.433445009244679 0.0000000000
  33 8.37500E+17 0.000000000000000 0.001251 0.149793 14605.759548335678119 0.138838 14605.758690745893546 0.000000 11507.788892233096703 0.000014 14606.074479791910562 0.010954 14605.759547195277264 0.0000000000
  34 8.62500E+17 0.000000000000000 0.001270 0.149735 14600.215804158206083 0.138785 14600.214933995248430 0.000000 11499.746354003969827 0.000014 14600.535040181352088 0.010950 14600.215803001077802 0.0000000000
