InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.209708 20446.052799391236476 0.194354 20446.052799383516685 0.000000 16228.464254353775686 0.000000 20446.047669083178334 0.015354 20446.052799391214648 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000000 0.212005 20669.960008832022140 0.196483 20669.960008824084071 0.000000 16403.424843904522277 0.000000 20669.954798345370364 0.015522 20669.960008831996674 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000000 0.214054 20869.728163028805284 0.198381 20869.728163020663487 0.000000 16559.067605569551233 0.000000 20869.722875786672375 0.015672 20869.728163028772542 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000000 0.215863 21046.186975754611922 0.200059 21046.186975746277312 0.000000 16696.055960491012229 0.000000 21046.181614811652253 0.015805 21046.186975754601008 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000000 0.217446 21200.463595663477463 0.201525 21200.463595654942765 0.000000 16815.289818472308980 0.000000 21200.458163986386353 0.015921 21200.463595663473825 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000000 0.218815 21333.917911861299217 0.202794 21333.917911852568068 0.000000 16917.854134717581474 0.000000 21333.912412333807879 0.016021 21333.917911861291941 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000000 0.219985 21448.074374573661771 0.203879 21448.074374564734171 0.000000 17004.964697031002288 0.000000 21448.068809048108960 0.016106 21448.074374573650857 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000000 0.220975 21544.557630165840237 0.204796 21544.557630156708910 0.000000 17077.916948889538617 0.000000 21544.552001063355419 0.016179 21544.557630165814771 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000000 0.221820 21626.953572064925538 0.205579 21626.953572055605036 0.000000 17139.571444640318077 0.000000 21626.947880347062892 0.016241 21626.953572064907348 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000000 0.222509 21694.147841848956887 0.206218 21694.147841839436296 0.000000 17189.037022547767265 0.000000 21694.142089234574087 0.016291 21694.147841848935059 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000000 0.223064 21748.248589839437045 0.206732 21748.248589829727280 0.000000 17227.995251211206778 0.000000 21748.242777327253862 0.016332 21748.248589839415217 0.0000000000
  11 2.87500E+17 0.000000000000000 0.000000 0.223503 21790.978776723339251 0.207139 21790.978776713440311 0.000000 17257.820338589834137 0.000000 21790.972904695769103 0.016364 21790.978776723317424 0.0000000000
  12 3.12500E+17 0.000000000000000 0.000000 0.223840 21823.837589385850151 0.207451 21823.837589375780226 0.000000 17279.707967415943131 0.000000 21823.831658581118973 0.016389 21823.837589385842875 0.0000000000
  13 3.37500E+17 0.000000000000000 0.000000 0.224088 21848.096539784859488 0.207682 21848.096539774582197 0.000000 17294.672701037652587 0.000000 21848.090550197921402 0.016407 21848.096539784830384 0.0000000000
  14 3.62500E+17 0.000000000000000 0.000000 0.224263 21865.107191064838844 0.207843 21865.107191054372379 0.000000 17303.792702802049462 0.000000 21865.101142691557470 0.016420 21865.107191064809740 0.0000000000
  15 3.87500E+17 0.000000000000000 0.000000 0.224373 21875.894513075305440 0.207946 21875.894513064653438 0.000000 17307.886291070844891 0.000000 21875.888405546509603 0.016428 21875.894513075287250 0.0000000000
  16 4.12500E+17 0.000000000000000 0.000000 0.224430 21881.430741017495166 0.207998 21881.430741006646713 0.000000 17307.729773041664885 0.000000 21881.424573720356420 0.016432 21881.430741017473338 0.0000000000
  17 4.37500E+17 0.000000000000000 0.000000 0.224443 21882.646154134130484 0.208010 21882.646154123092856 0.000000 17304.065958417111688 0.000000 21882.639926387255400 0.016433 21882.646154134119570 0.0000000000
  18 4.62500E+17 0.000000000000000 0.000000 0.224418 21880.217307562576025 0.207987 21880.217307551331032 0.000000 17297.435804785396613 0.000000 21880.211018568243162 0.016431 21880.217307562550559 0.0000000000
  19 4.87500E+17 0.000000000000000 0.000000 0.224363 21874.867326791794767 0.207936 21874.867326780349686 0.000000 17288.417138374839851 0.000000 21874.860975813349796 0.016427 21874.867326791772939 0.0000000000
  20 5.12500E+17 0.000000000000000 0.000000 0.224283 21867.090441587646637 0.207862 21867.090441575994191 0.000000 17277.405781608067628 0.000000 21867.084027511420572 0.016421 21867.090441587628447 0.0000000000
  21 5.37500E+17 0.000000000000000 0.000000 0.224185 21857.499756391713163 0.207771 21857.499756379856990 0.000000 17264.891644778523187 0.000000 21857.493278041158192 0.016414 21857.499756391694973 0.0000000000
  22 5.62500E+17 0.000000000000000 0.000000 0.224071 21846.371069308588631 0.207665 21846.371069296510541 0.000000 17251.096734190366988 0.000000 21846.364525507789949 0.016406 21846.371069308566803 0.0000000000
  23 5.87500E+17 0.000000000000000 0.000000 0.223945 21834.115613955429581 0.207549 21834.115613943133212 0.000000 17236.350288592137076 0.000000 21834.109003404046234 0.016396 21834.115613955396839 0.0000000000
  24 6.12500E+17 0.000000000000000 0.000000 0.223810 21820.959177676966647 0.207424 21820.959177664433810 0.000000 17220.834225572743890 0.000000 21820.952499258921307 0.016386 21820.959177676915715 0.0000000000
  25 6.37500E+17 0.000000000000000 0.000000 0.223670 21807.271630808765622 0.207293 21807.271630796039972 0.000000 17204.844475202968169 0.000000 21807.264882905823470 0.016376 21807.271630808751070 0.0000000000
