InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.175698 17130.109521208414662 0.162834 17130.109521208418300 0.000000 13594.209591169901614 0.000000 17130.105198783170636 0.012864 17130.109521208418300 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000000 0.175454 17106.350158673485566 0.162608 17106.350158673489204 0.000000 13572.383500709776854 0.000000 17106.345806862416794 0.012846 17106.350158673485566 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000000 0.175217 17083.254206877118122 0.162388 17083.254206877114484 0.000000 13551.004215568716972 0.000000 17083.249824238810106 0.012829 17083.254206877114484 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000000 0.174989 17061.004288392832677 0.162177 17061.004288392836315 0.000000 13530.221572925731380 0.000000 17060.999874097782595 0.012812 17061.004288392836315 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000000 0.174770 17039.702527016761451 0.161974 17039.702527016757813 0.000000 13510.120888648249093 0.000000 17039.698078819019429 0.012796 17039.702527016754175 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000000 0.174562 17019.395832473535847 0.161781 17019.395832473539485 0.000000 13490.743140506367126 0.000000 17019.391349316811102 0.012781 17019.395832473539485 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000000 0.174364 17000.095724117138161 0.161598 17000.095724117130885 0.000000 13472.101167557655572 0.000000 17000.091204705735436 0.012766 17000.095724117127247 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000000 0.174176 16981.786370067686221 0.161424 16981.786370067682583 0.000000 13454.185178141389770 0.000000 16981.781813143876207 0.012752 16981.786370067682583 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000000 0.173998 16964.436739492732158 0.161259 16964.436739492721244 0.000000 13436.972721041096520 0.000000 16964.432143679608998 0.012739 16964.436739492717606 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000000 0.173830 16948.010120127863047 0.161103 16948.010120127855771 0.000000 13420.437446859541524 0.000000 16948.005484156408784 0.012727 16948.010120127852133 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000000 0.173670 16932.463160352865088 0.160955 16932.463160352868726 0.000000 13404.547177450980598 0.000000 16932.458482851237932 0.012715 16932.463160352865088 0.0000000000
  11 2.87500E+17 0.000000000000000 0.000000 0.173520 16917.751148010142060 0.160815 16917.751148010145698 0.000000 13389.268792346776536 0.000000 16917.746428024514898 0.012704 16917.751148010149336 0.0000000000
  12 3.12500E+17 0.000000000000000 0.000000 0.173377 16903.827809592494305 0.160683 16903.827809592494305 0.000000 13374.567271082178195 0.000000 16903.823045612389251 0.012694 16903.827809592490667 0.0000000000
  13 3.37500E+17 0.000000000000000 0.000000 0.173242 16890.648502810639911 0.160557 16890.648502810628997 0.000000 13360.409213401037050 0.000000 16890.643693285219342 0.012684 16890.648502810628997 0.0000000000
  14 3.62500E+17 0.000000000000000 0.000000 0.173114 16878.169836408658739 0.160439 16878.169836408662377 0.000000 13346.762051180716298 0.000000 16878.164980480509257 0.012675 16878.169836408666015 0.0000000000
  15 3.87500E+17 0.000000000000000 0.000000 0.172992 16866.349969722396054 0.160327 16866.349969722396054 0.000000 13333.594017908033493 0.000000 16866.345066223027970 0.012666 16866.349969722396054 0.0000000000
  16 4.12500E+17 0.000000000000000 0.000000 0.172877 16855.149531942679459 0.160220 16855.149531942683097 0.000000 13320.875555061989871 0.000000 16855.144579670097301 0.012657 16855.149531942683097 0.0000000000
  17 4.37500E+17 0.000000000000000 0.000000 0.172769 16844.531203966023895 0.160119 16844.531203966027533 0.000000 13308.578534972242778 0.000000 16844.526201404347376 0.012649 16844.531203966027533 0.0000000000
