InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000772 0.122823 11975.603418131171566 0.113837 11975.602983814891559 0.000000 9509.077832481378209 0.000007 11975.668924561983658 0.008986 11975.603417551088569 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000783 0.122711 11964.725318403628989 0.113733 11964.724878324934252 0.000000 9498.565679362469382 0.000007 11964.791240348062274 0.008978 11964.725317815844392 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000794 0.122601 11954.042043433784784 0.113632 11954.041597490173444 0.000000 9488.144844961896524 0.000007 11954.108391687324911 0.008970 11954.042042838154885 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000806 0.122495 11943.724721970556857 0.113534 11943.724270051294297 0.000000 9477.955187430368824 0.000007 11943.791515954953866 0.008962 11943.724721366937956 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000817 0.122394 11933.860277980520550 0.113440 11933.859819969466116 0.000000 9468.068915149495297 0.000007 11933.927542603041729 0.008954 11933.860277368738025 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000829 0.122298 11924.484037107606127 0.113351 11924.483572885104877 0.000000 9458.516709058982087 0.000007 11924.551799676417431 0.008947 11924.484036487529011 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000841 0.122207 11915.600810029114655 0.113266 11915.600339473012355 0.000000 9449.304640297339574 0.000008 11915.669099663822635 0.008941 11915.600809400562866 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000853 0.122120 11907.198079079662421 0.113186 11907.197602066045874 0.000000 9440.424762905144235 0.000008 11907.266924824816670 0.008934 11907.198078442477708 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000866 0.122039 11899.254012609768324 0.113111 11899.253529013349180 0.000000 9431.861562615562434 0.000008 11899.323443559916996 0.008928 11899.254011963797893 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000878 0.121962 11891.742203263806005 0.113039 11891.741712958095377 0.000000 9423.595776821832260 0.000008 11891.812247951062091 0.008922 11891.742202608849766 0.0000000000
