InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.223633 21803.671201133063732 0.207259 21803.671201124845538 0.000000 17304.817269552313519 0.000000 21803.665762122796878 0.016373 21803.671201133052818 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000000 0.228103 22239.489867103729921 0.211402 22239.489867095206137 0.000000 17647.668149929551873 0.000000 22239.484299146879493 0.016701 22239.489867103719007 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000000 0.232479 22666.172169742250844 0.215458 22666.172169733410556 0.000000 17983.056143743444409 0.000000 22666.166472719673038 0.017021 22666.172169742221740 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000000 0.236754 23082.923923335198197 0.219419 23082.923923326030490 0.000000 18310.351579795635189 0.000000 23082.918097135207063 0.017334 23082.923923335139989 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000000 0.240919 23489.013656201164849 0.223280 23489.013656191706104 0.000000 18628.975337877578568 0.000000 23489.007700853740971 0.017639 23489.013656201153935 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000000 0.244968 23883.782858813949133 0.227032 23883.782858804144780 0.000000 18938.406951978355210 0.000000 23883.776774499008752 0.017936 23883.782858813909115 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000000 0.248916 24268.720005840321392 0.230691 24268.720005830196897 0.000000 19239.830765225284267 0.000000 24268.713792239381291 0.018225 24268.720005840281374 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000000 0.252729 24640.494328554425010 0.234225 24640.494328543987649 0.000000 19530.602176210122707 0.000000 24640.487986324995290 0.018504 24640.494328554406820 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000000 0.256402 24998.632127635024517 0.237630 24998.632127624248824 0.000000 19810.353358242216927 0.000000 24998.625657408079860 0.018773 24998.632127634988137 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000000 0.259936 25343.150295096984337 0.240904 25343.150295085877588 0.000000 20079.106694336795044 0.000000 25343.143697520292335 0.019031 25343.150295096969785 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000000 0.263331 25674.188452812148171 0.244051 25674.188452800695813 0.000000 20336.974181974735984 0.000000 25674.181728454026597 0.019280 25674.188452812126343 0.0000000000
  11 2.87500E+17 0.000000000000000 0.000000 0.266587 25991.589076846325042 0.247068 25991.589076834523439 0.000000 20583.836295984761819 0.000000 25991.582226464106498 0.019518 25991.589076846295939 0.0000000000
  12 3.12500E+17 0.000000000000000 0.000000 0.269702 26295.275141876634734 0.249955 26295.275141864483885 0.000000 20819.637710160532151 0.000000 26295.268166141027905 0.019746 26295.275141876598354 0.0000000000
  13 3.37500E+17 0.000000000000000 0.000000 0.272675 26585.221222520707670 0.252711 26585.221222508214851 0.000000 21044.364264358617220 0.000000 26585.214122077853972 0.019964 26585.221222520696756 0.0000000000
  14 3.62500E+17 0.000000000000000 0.000000 0.275509 26861.498563592056598 0.255337 26861.498563579214533 0.000000 21258.078734854869253 0.000000 26861.491339433181565 0.020172 26861.498563592042046 0.0000000000
  15 3.87500E+17 0.000000000000000 0.000000 0.278204 27124.227353329162725 0.257835 27124.227353315956861 0.000000 21460.882839777263143 0.000000 27124.220005781189684 0.020369 27124.227353329140897 0.0000000000
  16 4.12500E+17 0.000000000000000 0.000000 0.280761 27373.583667316313949 0.260205 27373.583667302751564 0.000000 21652.922714414602524 0.000000 27373.576197431717446 0.020556 27373.583667316295760 0.0000000000
  17 4.37500E+17 0.000000000000000 0.000000 0.283184 27609.807956200751505 0.262451 27609.807956186810770 0.000000 21834.395605804143997 0.000000 27609.800364431677735 0.020734 27609.807956200715125 0.0000000000
  18 4.62500E+17 0.000000000000000 0.000000 0.285475 27833.170849819936848 0.264574 27833.170849805650505 0.000000 22005.522664478383376 0.000000 27833.163136904633575 0.020901 27833.170849819925934 0.0000000000
  19 4.87500E+17 0.000000000000000 0.000000 0.287638 28043.993096416917979 0.266578 28043.993096402253286 0.000000 22166.564749164746900 0.000000 28043.985262921800313 0.021060 28043.993096416899789 0.0000000000
  20 5.12500E+17 0.000000000000000 0.000000 0.289675 28242.624806339397765 0.268466 28242.624806324358360 0.000000 22317.805906377718202 0.000000 28242.616852884133550 0.021209 28242.624806339372299 0.0000000000
  21 5.37500E+17 0.000000000000000 0.000000 0.291591 28429.442795965038385 0.270242 28429.442795949624269 0.000000 22459.551234102760645 0.000000 28429.434722912126745 0.021349 28429.442795965012920 0.0000000000
  22 5.62500E+17 0.000000000000000 0.000000 0.293390 28604.845541797443730 0.271909 28604.845541781629436 0.000000 22592.122853468910762 0.000000 28604.837349671230186 0.021481 28604.845541797396436 0.0000000000
  23 5.87500E+17 0.000000000000000 0.000000 0.295076 28769.248020198108861 0.273472 28769.248020181919856 0.000000 22715.855791847076034 0.000000 28769.239709288769518 0.021604 28769.248020198076119 0.0000000000
  24 6.12500E+17 0.000000000000000 0.000000 0.296654 28923.076885493846930 0.274934 28923.076885477290489 0.000000 22831.094139394645026 0.000000 28923.068456042357866 0.021720 28923.076885493832378 0.0000000000
  25 6.37500E+17 0.000000000000000 0.000000 0.298128 29066.766369165270589 0.276300 29066.766369148299418 0.000000 22938.187783611971099 0.000000 29066.757821495437383 0.021828 29066.766369165234210 0.0000000000
  26 6.62500E+17 0.000000000000000 0.000000 0.299502 29200.754464647263376 0.277574 29200.754464629932045 0.000000 23037.489371091523935 0.000000 29200.745798675900005 0.021928 29200.754464647263376 0.0000000000
  27 6.87500E+17 0.000000000000000 0.000000 0.300781 29325.479517097475764 0.278759 29325.479517079729703 0.000000 23129.351596930035157 0.000000 29325.470732893947570 0.022022 29325.479517097464850 0.0000000000
  28 7.12500E+17 0.000000000000000 0.000000 0.301970 29441.377377778357186 0.279861 29441.377377760203672 0.000000 23214.124943058708595 0.000000 29441.368475362207391 0.022109 29441.377377778335358 0.0000000000
