InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.390552 0.096117 9647.087137485084895 0.091701 9646.909070984924256 0.000000 8022.514783143949899 0.002849 9715.050797661184333 0.004415 9647.087011981720934 0.0000000000
   1 3.75000E+16 0.000000000000000 0.393766 0.097624 9800.699305278987595 0.093161 9800.516899619226024 0.000000 8152.572406067690281 0.002919 9870.565666829030306 0.004462 9800.699174965016937 0.0000000000
   2 6.25000E+16 0.000000000000000 0.396992 0.099047 9945.986369703357923 0.094542 9945.799728451185729 0.000000 8275.619458009718073 0.002986 10017.706377108685047 0.004504 9945.986234657539171 0.0000000000
   3 8.75000E+16 0.000000000000000 0.400229 0.100377 10081.972737897707702 0.095834 10081.781986802769097 0.000000 8390.831072117529402 0.003052 10155.487248999916119 0.004541 10081.972598235433907 0.0000000000
   4 1.12500E+17 0.000000000000000 0.403478 0.101605 10207.776014533221314 0.097030 10207.581300391781042 0.000000 8497.460254740066375 0.003116 10283.016346460772183 0.004573 10207.775870406039758 0.0000000000
   5 1.37500E+17 0.000000000000000 0.406737 0.102723 10322.666168877929522 0.098122 10322.467657190009049 0.000000 8594.887664693642364 0.003176 10399.555195612516400 0.004599 10322.666020471164302 0.0000000000
   6 1.62500E+17 0.000000000000000 0.410008 0.103727 10426.120482923604868 0.099106 10425.918354368370274 0.000000 8682.667916985854390 0.003234 10504.574271164965467 0.004619 10426.120330451893096 0.0000000000
   7 1.87500E+17 0.000000000000000 0.413289 0.104614 10517.866721333310124 0.099978 10517.661167240094073 0.000000 8760.566063790734916 0.003289 10597.796621249010059 0.004634 10517.866565034297309 0.0000000000
   8 2.12500E+17 0.000000000000000 0.416580 0.105384 10597.907786404886792 0.100739 10597.699003542547871 0.000000 8828.578568595483375 0.003341 10679.222828896563442 0.004643 10597.907626531618007 0.0000000000
   9 2.37500E+17 0.000000000000000 0.419881 0.106040 10666.523840411848141 0.101391 10666.312025518915107 0.000000 8886.935369245529728 0.003389 10749.133245153025200 0.004647 10666.523677224282437 0.0000000000
