InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000772 0.165759 16162.076807617493614 0.153632 16162.076221629082283 0.000000 12845.270595494646841 0.000009 16162.346870887993646 0.012128 16162.076806840355857 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000783 0.168537 16432.877755897679890 0.156206 16432.877151647855499 0.000000 13059.046790847287411 0.000010 16433.165094715015584 0.012331 16432.877755096684268 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000794 0.171173 16689.900565750522219 0.158649 16689.899943325934146 0.000000 13261.717788263789771 0.000010 16690.204935085796023 0.012523 16689.900564925788785 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000806 0.173657 16932.163728273859306 0.160952 16932.163087810487923 0.000000 13452.503010968197486 0.000010 16932.484814553285105 0.012705 16932.163727425588149 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000817 0.175982 17158.873884922231809 0.163107 17158.873226600851922 0.000000 13630.772348559436068 0.000011 17159.211311559178284 0.012875 17158.873884050644847 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000829 0.178142 17369.452691395752481 0.165109 17369.452015436079819 0.000000 13796.067505863671613 0.000011 17369.806027370417723 0.013033 17369.452690501126199 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000841 0.180132 17563.554181249040994 0.166954 17563.553487902612687 0.000000 13948.115771456932634 0.000011 17563.922950461303117 0.013178 17563.554180331717362 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000853 0.181953 17741.070912153762038 0.168641 17741.070201695947617 0.000000 14086.834847841015289 0.000011 17741.454604206017393 0.013311 17741.070911214072112 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000866 0.183604 17902.129034981306177 0.170172 17902.128307703020255 0.000000 14212.328856454536435 0.000012 17902.527116410961753 0.013432 17902.129034019661049 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000878 0.185091 18047.073188857550122 0.171550 18047.072445056750439 0.000000 14324.876236086945937 0.000012 18047.485114658677048 0.013541 18047.073187874277210 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000891 0.186417 18176.442577462908957 0.172780 18176.441817436643760 0.000000 14424.910622435289042 0.000012 18176.867801621807303 0.013637 18176.442576458408439 0.0000000000
