InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.134761 13138.902646085689412 0.124895 13138.902646085689412 0.000000 10424.328575145374998 0.000000 13138.899280211795485 0.009867 13138.902646085689412 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000000 0.134618 13124.926414744391877 0.124762 13124.926414744391877 0.000000 10410.872565805208069 0.000000 13124.923023207951701 0.009856 13124.926414744391877 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000000 0.134483 13111.761907534575585 0.124637 13111.761907534579223 0.000000 10398.009919631705998 0.000000 13111.758490344078382 0.009846 13111.761907534581042 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000000 0.134356 13099.357042030338562 0.124519 13099.357042030333105 0.000000 10385.700770477600599 0.000000 13099.353597542572970 0.009837 13099.357042030331286 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000000 0.134236 13087.662674592680560 0.124407 13087.662674592687836 0.000000 10373.907582647505478 0.000000 13087.659201991671580 0.009828 13087.662674592691474 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000000 0.134122 13076.632585789693621 0.124303 13076.632585789695440 0.000000 10362.595136435655149 0.000000 13076.629084005548066 0.009820 13076.632585789695440 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000000 0.134016 13066.223431046717451 0.124204 13066.223431046728365 0.000000 10351.730483947843823 0.000000 13066.219899642990640 0.009812 13066.223431046733822 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000000 0.133915 13056.394645834378025 0.124110 13056.394645834372568 0.000000 10341.282882348696148 0.000000 13056.391083043154140 0.009805 13056.394645834370749 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000000 0.133820 13047.108333554544515 0.124022 13047.108333554555429 0.000000 10331.223644336858342 0.000000 13047.104738858392011 0.009798 13047.108333554555429 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000000 0.133730 13038.329149281707942 0.123938 13038.329149281711580 0.000000 10321.526125368822250 0.000000 13038.325522033426751 0.009791 13038.329149281715218 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000000 0.133644 13030.024156036071872 0.123860 13030.024156036073691 0.000000 10312.165549155481131 0.000000 13030.020494683521974 0.009785 13030.024156036071872 0.0000000000
  11 2.87500E+17 0.000000000000000 0.000000 0.133564 13022.162693295311328 0.123785 13022.162693295313147 0.000000 10303.118912932346575 0.000000 13022.158997312475549 0.009779 13022.162693295313147 0.0000000000
  12 3.12500E+17 0.000000000000000 0.000000 0.133487 13014.716237458400428 0.123714 13014.716237458391333 0.000000 10294.364873911408722 0.000000 13014.712505703175339 0.009773 13014.716237458391333 0.0000000000
  13 3.37500E+17 0.000000000000000 0.000000 0.133415 13007.658265529602431 0.123647 13007.658265529596974 0.000000 10285.883638812749268 0.000000 13007.654497154440833 0.009768 13007.658265529598793 0.0000000000
  14 3.62500E+17 0.000000000000000 0.000000 0.133346 13000.964127473200278 0.123583 13000.964127473200278 0.000000 10277.656860087508903 0.000000 13000.960321516291515 0.009763 13000.964127473200278 0.0000000000
  15 3.87500E+17 0.000000000000000 0.000000 0.133281 12994.610911730462249 0.123523 12994.610911730465887 0.000000 10269.667528608679277 0.000000 12994.607067180224476 0.009758 12994.610911730465887 0.0000000000
  16 4.12500E+17 0.000000000000000 0.000000 0.133219 12988.577329718040346 0.123466 12988.577329718043984 0.000000 10261.899879733960915 0.000000 12988.573445950467431 0.009754 12988.577329718042165 0.0000000000
  17 4.37500E+17 0.000000000000000 0.000000 0.133161 12982.843597840095754 0.123411 12982.843597840095754 0.000000 10254.339299793491591 0.000000 12982.839673439277249 0.009749 12982.843597840099392 0.0000000000
  18 4.62500E+17 0.000000000000000 0.000000 0.133105 12977.391328681635059 0.123359 12977.391328681635059 0.000000 10246.972238375205052 0.000000 12977.387363272537186 0.009745 12977.391328681635059 0.0000000000
  19 4.87500E+17 0.000000000000000 0.000000 0.133051 12972.203427465590721 0.123310 12972.203427465588902 0.000000 10239.786125487895333 0.000000 12972.199419930724616 0.009741 12972.203427465592540 0.0000000000
  20 5.12500E+17 0.000000000000000 0.000000 0.133001 12967.264001888775965 0.123263 12967.264001888775965 0.000000 10232.769299208299344 0.000000 12967.259951560306945 0.009738 12967.264001888775965 0.0000000000
  21 5.37500E+17 0.000000000000000 0.000000 0.132952 12962.558265128143830 0.123218 12962.558265128145649 0.000000 10225.910930222167735 0.000000 12962.554171357065570 0.009734 12962.558265128145649 0.0000000000
  22 5.62500E+17 0.000000000000000 0.000000 0.132906 12958.072457631864381 0.123176 12958.072457631871657 0.000000 10219.200960232141369 0.000000 12958.068319035264722 0.009731 12958.072457631871657 0.0000000000
  23 5.87500E+17 0.000000000000000 0.000000 0.132863 12953.793768127048679 0.123135 12953.793768127055955 0.000000 10212.630040358002589 0.000000 12953.789583578631209 0.009728 12953.793768127057774 0.0000000000
  24 6.12500E+17 0.000000000000000 0.000000 0.132821 12949.710262696447899 0.123096 12949.710262696436985 0.000000 10206.189477706824619 0.000000 12949.706031519965109 0.009725 12949.710262696435166 0.0000000000
  25 6.37500E+17 0.000000000000000 0.000000 0.132781 12945.810820101005447 0.123059 12945.810820101014542 0.000000 10199.871182805780336 0.000000 12945.806541680514783 0.009722 12945.810820101014542 0.0000000000
  26 6.62500E+17 0.000000000000000 0.000000 0.132742 12942.085066503428607 0.123024 12942.085066503426788 0.000000 10193.667619144676792 0.000000 12942.080740019002405 0.009719 12942.085066503426788 0.0000000000
  27 6.87500E+17 0.000000000000000 0.000000 0.132706 12938.523324779373070 0.122990 12938.523324779376708 0.000000 10187.571763415309761 0.000000 12938.518949279574372 0.009716 12938.523324779376708 0.0000000000
  28 7.12500E+17 0.000000000000000 0.000000 0.132671 12935.116556628110629 0.122957 12935.116556628106991 0.000000 10181.577049456705936 0.000000 12935.112130792866083 0.009714 12935.116556628106991 0.0000000000
  29 7.37500E+17 0.000000000000000 0.000000 0.132638 12931.856315683327921 0.122926 12931.856315683335197 0.000000 10175.677314082482553 0.000000 12931.851839425793514 0.009711 12931.856315683338835 0.0000000000
  30 7.62500E+17 0.000000000000000 0.000000 0.132606 12928.734700864100887 0.122897 12928.734700864102706 0.000000 10169.866629774698595 0.000000 12928.730172799316279 0.009709 12928.734700864100887 0.0000000000
  31 7.87500E+17 0.000000000000000 0.000000 0.132575 12925.743822575817831 0.122868 12925.743822575814193 0.000000 10164.133328643196364 0.000000 12925.739241290932114 0.009707 12925.743822575814193 0.0000000000
  32 8.12500E+17 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  33 8.37500E+17 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  34 8.62500E+17 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  35 8.87500E+17 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  36 9.12500E+17 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  37 9.37500E+17 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  38 9.62500E+17 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  39 9.87500E+17 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  40 1.01250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  41 1.03750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  42 1.06250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  43 1.08750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  44 1.11250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  45 1.13750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  46 1.16250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  47 1.18750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  48 1.21250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  49 1.23750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  50 1.26250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  51 1.28750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  52 1.31250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  53 1.33750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  54 1.36250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  55 1.38750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  56 1.41250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  57 1.43750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  58 1.46250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  59 1.48750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  60 1.51250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  61 1.53750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  62 1.56250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  63 1.58750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  64 1.61250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  65 1.63750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  66 1.66250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  67 1.68750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  68 1.71250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  69 1.73750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  70 1.76250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  71 1.78750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  72 1.81250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  73 1.83750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  74 1.86250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  75 1.88750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  76 1.91250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  77 1.93750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  78 1.96250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  79 1.98750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  80 2.01250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  81 2.03750E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
  82 2.06250E+18 0.000000000000000 0.000000     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan    -nan     -nan
