InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000772 0.168517 16430.957203648154973 0.156188 16430.956607921358227 0.000000 13059.238720856235886 0.000010 16431.240398714209732 0.012329 16430.957202858469827 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000783 0.171923 16763.050328306380834 0.159345 16763.049711929088517 0.000000 13321.770628398095141 0.000010 16763.354020890124957 0.012578 16763.050327489771007 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000794 0.175285 17090.882618866497069 0.162461 17090.881981504542637 0.000000 13580.761974190971159 0.000010 17091.207131630639196 0.012824 17090.882618022580573 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000806 0.178598 17413.929550625725824 0.165532 17413.928891960087640 0.000000 13835.793574158144111 0.000011 17414.275183404908603 0.013066 17413.929549754062464 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000817 0.181857 17731.676513577593141 0.168552 17731.675833305336710 0.000000 14086.454644096982520 0.000011 17732.043542493294808 0.013305 17731.676512677844585 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000829 0.185056 18043.623698995012091 0.171517 18043.622996829766635 0.000000 14332.346697619255792 0.000011 18044.012375464160868 0.013539 18043.623698066781799 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000841 0.188191 18349.291407409422391 0.174423 18349.290683082013857 0.000000 14573.087771487798818 0.000012 18349.701957689529081 0.013768 18349.291406452422962 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000853 0.191256 18648.224935654361616 0.177264 18648.224188912903628 0.000000 14808.316310356740360 0.000012 18648.657560319166805 0.013992 18648.224934668236529 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000866 0.194249 18939.999206689764833 0.180038 18939.998437299851503 0.000000 15037.694841645181441 0.000012 18940.454080769723078 0.014211 18939.999205674244877 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000878 0.197164 19224.223100389517640 0.182740 19224.222308133947081 0.000000 15260.913404899394664 0.000013 19224.700373621410108 0.014424 19224.223099344315415 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000891 0.199997 19500.542633690605726 0.185366 19500.541818369132670 0.000000 15477.692062415788314 0.000013 19501.042430618501385 0.014631 19500.542632615473849 0.0000000000
  11 2.87500E+17 0.000000000000000 0.000904 0.202747 19768.643805114334100 0.187915 19768.642966543120565 0.000000 15687.783132473987280 0.000013 19769.166226222037949 0.014832 19768.643804009083397 0.0000000000
  12 3.12500E+17 0.000000000000000 0.000917 0.205409 20028.255031227978179 0.190383 20028.254169238814939 0.000000 15890.973100709028586 0.000014 20028.800153661421064 0.015026 20028.255030092364905 0.0000000000
  13 3.37500E+17 0.000000000000000 0.000931 0.207982 20279.148078063193680 0.192768 20279.147192502725375 0.000000 16087.083323151829973 0.000014 20279.715957057960622 0.015214 20279.148076897025021 0.0000000000
  14 3.62500E+17 0.000000000000000 0.000944 0.210464 20521.139126405236311 0.195068 20521.138217133979197 0.000000 16275.970838905437631 0.000015 20521.729796116167563 0.015396 20521.139125208337646 0.0000000000
  15 3.87500E+17 0.000000000000000 0.000958 0.212853 20754.088481254719227 0.197282 20754.087548145969777 0.000000 16457.528099009112339 0.000015 20754.701956708151556 0.015570 20754.088480026952311 0.0000000000
  16 4.12500E+17 0.000000000000000 0.000972 0.215148 20977.900158095599181 0.199410 20977.899201034200814 0.000000 16631.682594757035986 0.000015 20978.536436702899664 0.015738 20977.900156836771203 0.0000000000
  17 4.37500E+17 0.000000000000000 0.000987 0.217358 21193.473459732635092 0.201459 21193.472478569801751 0.000000 16799.154809622250468 0.000016 21194.132581853275042 0.015900 21193.473458442611445 0.0000000000
  18 4.62500E+17 0.000000000000000 0.001001 0.219470 21399.394084295981884 0.203416 21399.393078955712554 0.000000 16958.821900166080013 0.000016 21400.075990500939952 0.016054 21399.394082974624325 0.0000000000
  19 4.87500E+17 0.000000000000000 0.001016 0.221486 21596.025195258011081 0.205285 21596.024165656959667 0.000000 17110.977789214510267 0.000016 21596.729833638510172 0.016201 21596.025193905243214 0.0000000000
  20 5.12500E+17 0.000000000000000 0.001031 0.223409 21783.475219060717791 0.207067 21783.474165119856480 0.000000 17255.713363083556033 0.000017 21784.202529920123197 0.016341 21783.475217676364991 0.0000000000
  21 5.37500E+17 0.000000000000000 0.001046 0.225238 21961.849624657712411 0.208763 21961.848546302877367 0.000000 17393.117169715529599 0.000017 21962.599539763494249 0.016475 21961.849623241734662 0.0000000000
  22 5.62500E+17 0.000000000000000 0.001062 0.226975 22131.273965679156390 0.210373 22131.272862840120069 0.000000 17523.293784789766505 0.000018 22132.046409092767135 0.016602 22131.273964231462742 0.0000000000
  23 5.87500E+17 0.000000000000000 0.001078 0.228622 22291.907580805022008 0.211900 22291.906453413936106 0.000000 17646.374673513812013 0.000018 22292.702471476328355 0.016722 22291.907579325485131 0.0000000000
  24 6.12500E+17 0.000000000000000 0.001094 0.230181 22443.940799463209260 0.213345 22443.939647453164071 0.000000 17762.515874849072134 0.000018 22444.758052862936893 0.016836 22443.940797951789136 0.0000000000
  25 6.37500E+17 0.000000000000000 0.001110 0.231654 22587.578675125649170 0.214711 22587.577498429742263 0.000000 17871.885130786096852 0.000019 22588.418204712630541 0.016943 22587.578673582240299 0.0000000000
  26 6.62500E+17 0.000000000000000 0.001127 0.233043 22723.042049381176184 0.215998 22723.040847931581084 0.000000 17974.662667311105906 0.000019 22723.903767668860382 0.017045 22723.042047805647599 0.0000000000
  27 6.87500E+17 0.000000000000000 0.001144 0.234351 22850.563843509426079 0.217211 22850.562617236602819 0.000000 18071.038282310280920 0.000020 22851.447663125389226 0.017140 22850.563841901679552 0.0000000000
  28 7.12500E+17 0.000000000000000 0.001161 0.235580 22970.416333118875627 0.218350 22970.415081949166051 0.000000 18161.232816671952605 0.000020 22971.322170278162957 0.017230 22970.416331478820211 0.0000000000
  29 7.37500E+17 0.000000000000000 0.001178 0.236732 23082.857482355339016 0.219419 23082.856206211356039 0.000000 18245.455697479737864 0.000020 23083.785255816626886 0.017314 23082.857480682851019 0.0000000000
  30 7.62500E+17 0.000000000000000 0.001196 0.237812 23188.155164115258231 0.220420 23188.153862914998172 0.000000 18323.924155494292791 0.000021 23189.104796722203901 0.017392 23188.155162410239427 0.0000000000
  31 7.87500E+17 0.000000000000000 0.001214 0.238821 23286.587980895215878 0.221355 23286.586654550956155 0.000000 18396.863753933430417 0.000021 23287.559401167651231 0.017466 23286.587979157542577 0.0000000000
  32 8.12500E+17 0.000000000000000 0.001232 0.239763 23378.445990856027493 0.222229 23378.444639273213397 0.000000 18464.508926865863032 0.000022 23379.439134228665353 0.017534 23378.445989085554174 0.0000000000
  33 8.37500E+17 0.000000000000000 0.001251 0.240640 23464.001750441286276 0.223042 23464.000373518993001 0.000000 18527.080210203737806 0.000022 23465.016558663846808 0.017598 23464.001748637871060 0.0000000000
  34 8.62500E+17 0.000000000000000 0.001270 0.241456 23543.546621232064354 0.223798 23543.545218861338071 0.000000 18584.812730247020227 0.000022 23544.583044348390104 0.017658 23543.546619395539892 0.0000000000
  35 8.87500E+17 0.000000000000000 0.001289 0.242212 23617.351780040589802 0.224500 23617.350352105084312 0.000000 18637.925596034830960 0.000023 23618.409776123855409 0.017713 23617.351778170828766 0.0000000000
