EH[3] Te[3] dEH[3] EH[3] Te[3] dEH[3]





One-dimensional model
Timestep=  12000
j, (j+.5)*DNHI, y1H[j], y1He[j], EH[j], Te[j], EHII[j], THII[j], dEH[j], tauHIIe[j]
  26 6.62500E+17 0.000000000000000 0.000000 0.259886 12669.159004453025773 0.120429 12669.159004453196758 0.0000000000000000000000000000000009173755229458511460898120224520819788700101519190677242710909677440 -0.0000000000000000000000000000094068239020150103819521480508189670899307372102167610061934775475631252
  27 6.87500E+17 0.000000000000000 0.000000 0.261267 12736.462054145671573 0.121069 12736.462054145844377 0.0000000000000000000000000000000009392549347782439747925286802514774555368986763609202397896362154315 -0.0000000000000000000000000000094566593802699453716796797299006015014359712608867498375663744912242491
  28 7.12500E+17 0.000000000000000 0.000000 0.262601 12801.510798292858453 0.121687 12801.510798293033076 0.0000000000000000000000000000000009617640606073989061988208349515866932010928605193548574342251421765 -0.0000000000000000000000000000095076449090908280346575056306020689526961566598644318749783478520168505
  29 7.37500E+17 0.000000000000000 0.000000 0.263891 12864.381372784750056 0.122285 12864.381372784924679 0.0000000000000000000000000000000009849199224295905619099225024540573875494934621885269797618604541523 -0.0000000000000000000000000000094611793169898326062290402263760411525048278169516499238438052756213578
  30 7.62500E+17 0.000000000000000 0.000000 0.265138 12925.154352494357227 0.122863 12925.154352494531850 0.0000000000000000000000000000000010087400185810782188967756563942234247089665948895773183930526281215 -0.0000000000000000000000000000094166936541513524955505725334260651469385079643298680897369602478954131
  31 7.87500E+17 0.000000000000000 0.000000 0.266343 12983.890666858242184 0.123421 12983.890666858414988 0.0000000000000000000000000000000010332423384580723839398781560412747090256896669940617975519311313881 -0.0000000000000000000000000000092764477494582321245393626355677119170166542219269232746256510777126466
  32 8.12500E+17 0.000000000000000 0.000000 0.267507 13040.671688328897289 0.123961 13040.671688329073731 0.0000000000000000000000000000000010584453775385258674282968753091021971882951402233361973596481259720 -0.0000000000000000000000000000094305000174489596087303175089922969585871712005645234637901043744828948
  33 8.37500E+17 0.000000000000000 0.000000 0.268633 13095.562169844422897 0.124483 13095.562169844597520 0.0000000000000000000000000000000010843681527222808125100021969629355701056870299696131094944501591730 -0.0000000000000000000000000000092941576231321350701029377396628723779956434692382110580285715658401949
  34 8.62500E+17 0.000000000000000 0.000000 0.269722 13148.629753802770210 0.124987 13148.629753802944833 0.0000000000000000000000000000000011110302180078562981785590705502378128785225443020713028125419279081 -0.0000000000000000000000000000092566466049330692235464226743065584883083355449448999559249572556198317
  35 8.87500E+17 0.000000000000000 0.000000 0.270775 13199.944039904197780 0.125475 13199.944039904376041 0.0000000000000000000000000000000011384516805207933658180229431199232207575734425066703263686336794915 -0.0000000000000000000000000000094127588589008164082146240964939664194713366305904490244673610055131755
  36 9.12500E+17 0.000000000000000 0.000000 0.271792 13249.564272740073648 0.125946 13249.564272740250090 0.0000000000000000000000000000000011666532169129811559641640128300526906973842599642363927758719854756 -0.0000000000000000000000000000092818187868527492516196473678077633458450012677559748985701254381665801
  37 9.37500E+17 0.000000000000000 0.000000 0.272777 13297.552541104605552 0.126403 13297.552541104783813 0.0000000000000000000000000000000011956560901495385465664788905599833314939106432174384018412113982212 -0.0000000000000000000000000000093436660479088577346740721588561250261809934857255185088487722689698495
  38 9.62500E+17 0.000000000000000 0.000000 0.273729 13343.964741375073572 0.126844 13343.964741375251833 0.0000000000000000000000000000000012254821667008578416201333183887933933055597297433063018826559471486 -0.0000000000000000000000000000093111674533546272023790975642956080080105872724219731493672122789399970
  39 9.87500E+17 0.000000000000000 0.000000 0.274650 13388.872096959736155 0.127271 13388.872096959912597 0.0000000000000000000000000000000012561539341587701194438166669257057025381852731342753914033838114753 -0.0000000000000000000000000000091852438124535810219190130478791213904528396959033777321845770634195848
  40 1.01250E+18 0.000000000000000 0.000000 0.275541 13432.322723226272501 0.127684 13432.322723226450762 0.0000000000000000000000000000000012876945192932884315414281793482317159979974504037666977919869134338 -0.0000000000000000000000000000092499184808716766517952021383557953966144058994808693387170047892497188
  41 1.03750E+18 0.000000000000000 0.000000 0.276404 13474.373373932005052 0.128083 13474.373373932185132 0.0000000000000000000000000000000013201277065697899314049955798812896604325809039273738253275605995984 -0.0000000000000000000000000000093151438163129614501383083602895057902179921035231788676264472196196159
  42 1.06250E+18 0.000000000000000 0.000000 0.277239 13515.072407470323014 0.128470 13515.072407470497637 0.0000000000000000000000000000000013534779571438225109950713343960680392037207255344675611266683016847 -0.0000000000000000000000000000090056653268675873094309603733188781445204706862502784136917308769870391
  43 1.08750E+18 0.000000000000000 0.000000 0.278047 13554.472213747565547 0.128845 13554.472213747743808 0.0000000000000000000000000000000013877704283524587769321764165022667982908010790625493445981242681574 -0.0000000000000000000000000000091665605446876322628929793901896186937486620428696606176656647392839719
  44 1.11250E+18 0.000000000000000 0.000000 0.278830 13592.620533222567246 0.129207 13592.620533222745507 0.0000000000000000000000000000000014230309937210457886633324657805598912882956604311784908903953334238 -0.0000000000000000000000000000091408341676957203292503294873865121082781294692397288689995384085622087
  45 1.13750E+18 0.000000000000000 0.000000 0.279588 13629.571681901561533 0.129559 13629.571681901737975 0.0000000000000000000000000000000014592862635048317204941316108306077091019567675063612532650312402041 -0.0000000000000000000000000000090230314975807042728661550958187826180004971318706345268198880599215113
  46 1.16250E+18 0.000000000000000 0.000000 0.280322 13665.357788202663869 0.129899 13665.357788202842130 0.0000000000000000000000000000000014965636057826714466889680512634405435434568659748764536027797718582 -0.0000000000000000000000000000090921798114841007020694031854518416215902349156607958955119744388197293
  47 1.18750E+18 0.000000000000000 0.000000 0.281033 13700.040945362365164 0.130229 13700.040945362541606 0.0000000000000000000000000000000015348911681248963824064530608506195362673479297473030496431702429852 -0.0000000000000000000000000000089766194914886075510172982160881148415789266518869460895198215228894752
  48 1.21250E+18 0.000000000000000 0.000000 0.281722 13733.642111775805461 0.130548 13733.642111775983722 0.0000000000000000000000000000000015742978998531362786401482693441089348493581492422204151477403050304 -0.0000000000000000000000000000090469730598315123950775518466526141325882656546686161741885654194835070
  49 1.23750E+18 0.000000000000000 0.000000 0.282391 13766.216995408633011 0.130858 13766.216995408811272 0.0000000000000000000000000000000016148135749123396128680369004752427713548249642325620903067776684334 -0.0000000000000000000000000000090255652834793282720481977312790208145086590980771956325690754916980559
  50 1.26250E+18 0.000000000000000 0.000000 0.283038 13797.796928668360124 0.131158 13797.796928668536566 0.0000000000000000000000000000000016564688153767857429217650302547215005188324369857513241890022465508 -0.0000000000000000000000000000089130210583698409047861532557008917296130361702839502663150526374615052
  51 1.28750E+18 0.000000000000000 0.000000 0.283667 13828.427911232018232 0.131449 13828.427911232192855 0.0000000000000000000000000000000016992951156076124103281952526826033960855345182167521829294592175951 -0.0000000000000000000000000000088015947836847503505275827178273372222228953423374268672579423618227551
  52 1.31250E+18 0.000000000000000 0.000000 0.284276 13858.129133936354265 0.131731 13858.129133936532526 0.0000000000000000000000000000000017433248670871432038661570925315622097774180709698883524003172553563 -0.0000000000000000000000000000089657044610978515038576897882054537229929753590777946884850378745221696
  53 1.33750E+18 0.000000000000000 0.000000 0.284867 13886.950507816005484 0.132005 13886.950507816178288 0.0000000000000000000000000000000017885913839467570104254702328303140603304086372234877844489496270278 -0.0000000000000000000000000000086732060640670578703007741323311690229999443511941623573690668893882469
  54 1.36250E+18 0.000000000000000 0.000000 0.285441 13914.916824045361864 0.132271 13914.916824045534668 0.0000000000000000000000000000000018351289292144682572414587565053586847774899969624274436190812406935 -0.0000000000000000000000000000086557745819693043200560417958020922227797668436935925328022405168426836
  55 1.38750E+18 0.000000000000000 0.000000 0.285998 13942.058563675331243 0.132529 13942.058563675504047 0.0000000000000000000000000000000018829727418010420776833119709538466664489432461080883723305562145737 -0.0000000000000000000000000000086389239297556056514387778873221013310274129658056516047445176047673863
  56 1.41250E+18 0.000000000000000 0.000000 0.286538 13968.415186861890106 0.132780 13968.415186862064729 0.0000000000000000000000000000000019321590642497268220343871007946049048572921831204045912488340320731 -0.0000000000000000000000000000087133878354745489825277444306324163576264064071321152660460417085313342
  57 1.43750E+18 0.000000000000000 0.000000 0.287063 13994.001952501639607 0.133023 13994.001952501810592 0.0000000000000000000000000000000019827251712715922567456756854141196311235002898163527575806125789394 -0.0000000000000000000000000000085162591906179356251008934380744989023369821899180771802352764831604236
  58 1.46250E+18 0.000000000000000 0.000000 0.287573 14018.859926564256966 0.133259 14018.859926564426132 0.0000000000000000000000000000000020347093990905261108130246454159642082224419732812961789727192534145 -0.0000000000000000000000000000084107204683471751436898711570018175804050374440446258840708262279646710
  59 1.48750E+18 0.000000000000000 0.000000 0.288069 14043.009604080185454 0.133489 14043.009604080356439 0.0000000000000000000000000000000020881511756232060808398710787360002894418424960086817045530264775383 -0.0000000000000000000000000000084865389329998580122159392608766314942323446590331514762542269540159346
  60 1.51250E+18 0.000000000000000 0.000000 0.288550 14066.483562103847362 0.133712 14066.483562104016528 0.0000000000000000000000000000000021430910515166901021246846384348481950327244602712106202186399485566 -0.0000000000000000000000000000083822450441630486697758465444591979145884690924642386797259480822629066
